	CHR	START	END	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	V8	Symbol.1	Estimate	Std..Error	t.value	Pr...t..
cg16404157	chr14	38724498	38724799	6.08E-06	0.00554942	CLEC14A	chr14	38724648	38724649	cg16404157	CLEC14A	R	Island	II	CLEC14A	-7.33E-07	4.01E-08	-18.25486462	5.71E-66
cg02773086	chr2	177027290	177027591	-3.80E-08	0.005333354	HOXD3	chr2	177027440	177027441	cg02773086	HOXD3	F	N_Shore	I	HOXD3	-9.53E-06	1.51E-06	-6.322974729	3.60E-10
cg17001566	chr1	2990340	2990641	-6.01E-06	0.005333333	PRDM16	chr1	2990490	2990491	cg17001566	PRDM16	F	Island	I	PRDM16	-1.46E-05	1.30E-06	-11.26227719	4.71E-28
cg20649017	chr2	176980687	176980988	-6.04E-06	0.005333333	HOXD10	chr2	176980837	176980838	cg20649017	HOXD10	R	Island	I	HOXD10	-5.95E-06	6.67E-07	-8.921618475	1.66E-18
cg10026317	chr1	47694769	47695070	0	0.0048	TAL1	chr1	47694919	47694920	cg10026317	TAL1	R	N_Shore	I	TAL1	-1.21E-05	4.51E-07	-26.84577386	5.51E-125
cg20584905	chr2	223163634	223163935	0	0.0048	PAX3	chr2	223163784	223163785	cg20584905	PAX3	R	Island	II	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg05956679	chr16	223258	223559	1.20E-05	0.004420922	HBA2	chr16	223408	223409	cg05956679	HBA2	R	Island	I	HBA2	-1.55E-07	1.05E-08	-14.79357593	1.19E-45
cg16097357	chr17	73584210	73584511	3.13E-05	0.004392157	MYO15B	chr17	73584360	73584361	cg16097357	MYO15B	R	Island	II	MYO15B	-9.05E-07	1.59E-07	-5.702622018	1.48E-08
cg03506489	chr11	30038638	30038939	5.67E-05	0.004042607	KCNA4	chr11	30038788	30038789	cg03506489	KCNA4	R	Island	II	KCNA4	-8.59E-06	1.72E-06	-5.005545492	6.39E-07
cg19797376	chr1	47695325	47695626	5.98E-05	0.003956522	TAL1	chr1	47695475	47695476	cg19797376	TAL1	F	N_Shore	II	TAL1	-1.21E-05	4.51E-07	-26.84577386	5.51E-125
cg06970510	chr12	52401298	52401599	0.000104294	0.003953488	GRASP	chr12	52401448	52401449	cg06970510	GRASP	R	Island	II	GRASP	-2.08E-06	1.28E-07	-16.27659076	4.99E-54
cg02053896	chrX	70150967	70151268	-6.19E-06	0.00395	SLC7A3	chrX	70151117	70151118	cg02053896	SLC7A3	R	S_Shore	II	SLC7A3	-6.49E-06	3.06E-07	-21.18078167	5.64E-85
cg13389502	chr17	1961290	1961591	2.98E-05	0.003943173	HIC1	chr17	1961440	1961441	cg13389502	HIC1	R	Island	I	HIC1	-2.21E-06	3.04E-07	-7.268892803	6.48E-13
cg15926671	chr14	75078133	75078434	0	0.003897436	LTBP2	chr14	75078283	75078284	cg15926671	LTBP2	R	Island	I	LTBP2	-2.93E-07	2.13E-08	-13.74821582	4.46E-40
cg01000615	chr1	145562667	145562968	6.04E-06	0.00384	ANKRD35	chr1	145562817	145562818	cg01000615	ANKRD35	R	CpG_Ocean	II	ANKRD35	-8.48E-07	1.32E-07	-6.409310829	2.09E-10
cg25829425	chr6	6004747	6005048	0.00010559	0.003816346	NRN1	chr6	6004897	6004898	cg25829425	NRN1	R	Island	II	NRN1	-6.89E-07	2.81E-08	-24.47199412	8.05E-108
cg11214140	chr8	55370279	55370580	6.06E-06	0.003809524	SOX17	chr8	55370429	55370430	cg11214140	SOX17	F	Island	I	SOX17	-2.20E-06	1.06E-07	-20.80661601	1.82E-82
cg23092823	chr1	53528462	53528763	6.29E-06	0.003789474	PODN	chr1	53528612	53528613	cg23092823	PODN	R	Island	II	PODN	-3.60E-07	2.76E-08	-13.04439641	1.72E-36
cg16739441	chr12	21926374	21926675	1.85E-05	0.003735354	KCNJ8	chr12	21926524	21926525	cg16739441	KCNJ8	F	CpG_Ocean	II	KCNJ8	-2.52E-07	4.12E-08	-6.109060553	1.35E-09
cg19678828	chr21	27945263	27945564	0	0.003714286	CYYR1	chr21	27945413	27945414	cg19678828	CYYR1	R	Island	II	CYYR1	-7.68E-07	3.61E-08	-21.26180185	1.61E-85
cg12615761	chr18	8608757	8609058	0	0.0036	RAB12	chr18	8608907	8608908	cg12615761	RAB12	R	Island	I	RAB12	-2.48E-07	4.23E-08	-5.855620153	6.11E-09
cg18940047	chr7	153749586	153749887	0	0.003555556	DPP6	chr7	153749736	153749737	cg18940047	DPP6	R	Island	I	DPP6	-1.35E-05	1.39E-06	-9.673327061	2.26E-21
cg27009703	chr7	27204744	27205045	1.73E-05	0.003428571	HOXA9	chr7	27204894	27204895	cg27009703	HOXA9	F	Island	I	HOXA9	-6.84E-07	1.09E-07	-6.297902346	4.21E-10
cg00489401	chr5	180075725	180076026	-6.02E-06	0.003428571	FLT4	chr5	180075875	180075876	cg00489401	FLT4	F	Island	II	FLT4	-4.92E-06	2.61E-07	-18.83576851	1.26E-69
cg03885399	chr1	47691400	47691701	0	0.003428571	TAL1	chr1	47691550	47691551	cg03885399	TAL1	F	Island	I	TAL1	-1.21E-05	4.51E-07	-26.84577386	5.51E-125
cg00890485	chr14	70653769	70654070	0	0.003333333	SLC8A3	chr14	70653919	70653920	cg00890485	SLC8A3	R	N_Shore	II	SLC8A3	-8.71E-06	1.88E-06	-4.620633677	4.23E-06
cg25288420	chr1	78511563	78511864	6.15E-06	0.003333333	GIPC2	chr1	78511713	78511714	cg25288420	GIPC2	R	Island	I	GIPC2	-9.82E-06	2.61E-07	-37.66889257	2.87E-206
cg23972738	chr2	66666889	66667190	-6.04E-06	0.003333333	MEIS1	chr2	66667039	66667040	cg23972738	MEIS1	R	CpG_Ocean	II	MEIS1	-4.20E-06	4.13E-07	-10.1741317	2.18E-23
cg20072171	chr3	62356812	62357113	-1.16E-05	0.003333333	FEZF2	chr3	62356962	62356963	cg20072171	FEZF2	R	Island	I	FEZF2	-1.26E-05	2.14E-06	-5.919148645	4.21E-09
cg04692403	chr6	134210662	134210963	3.05E-05	0.003242417	TCF21	chr6	134210812	134210813	cg04692403	TCF21	F	Island	II	TCF21	-2.70E-05	5.10E-06	-5.285424169	1.49E-07
cg18081940	chr1	154475023	154475324	6.31E-06	0.0032	TDRD10	chr1	154475173	154475174	cg18081940	TDRD10	F	Island	I	TDRD10	-1.23E-05	6.02E-07	-20.36536831	1.55E-79
cg21647227	chr1	119526961	119527262	1.22E-05	0.003	TBX15	chr1	119527111	119527112	cg21647227	TBX15	F	Island	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg14287235	chr14	24804189	24804490	5.81E-06	0.003	ADCY4	chr14	24804339	24804340	cg14287235	ADCY4	F	Island	I	ADCY4	-4.89E-06	1.93E-07	-25.33578446	5.18E-114
cg14015441	chr8	105479168	105479469	-6.08E-06	0.003	DPYS	chr8	105479318	105479319	cg14015441	DPYS	R	Island	I	DPYS	-3.29E-05	3.74E-06	-8.792883059	4.90E-18
cg00698908	chr12	128750821	128751122	-6.21E-06	0.003	TMEM132C	chr12	128750971	128750972	cg00698908	TMEM132C	R	N_Shore	II	TMEM132C	-1.53E-06	5.59E-08	-27.27747407	3.74E-128
cg06023994	chr3	170137721	170138022	0	0.002742857	CLDN11	chr3	170137871	170137872	cg06023994	CLDN11	F	Island	II	CLDN11	-3.26E-06	1.00E-07	-32.42437937	1.30E-166
cg10906284	chr12	63544280	63544581	-6.13E-06	0.002666667	AVPR1A	chr12	63544430	63544431	cg10906284	AVPR1A	F	Island	I	AVPR1A	-2.72E-06	1.90E-07	-14.3189406	4.38E-43
cg08681855	chr19	52956901	52957202	1.94E-05	0.002666667	ZNF578	chr19	52957051	52957052	cg08681855	ZNF578	R	Island	II	ZNF578	-2.04E-05	3.96E-06	-5.160628502	2.87E-07
cg12807794	chr20	590935	591236	1.20E-05	0.002666667	TCF15	chr20	591085	591086	cg12807794	TCF15	F	Island	I	TCF15	-3.26E-06	3.66E-07	-8.904198847	1.92E-18
cg07766263	chr3	170302895	170303196	-1.89E-05	0.002613115	SLC7A14	chr3	170303045	170303046	cg07766263	SLC7A14	R	Island	II	SLC7A14	-6.25E-05	7.17E-06	-8.716374804	9.28E-18
cg08816590	chr12	54954187	54954488	6.49E-06	0.002276423	PDE1B	chr12	54954337	54954338	cg08816590	PDE1B	F	CpG_Ocean	I	PDE1B	-4.73E-06	2.62E-07	-18.04044937	1.23E-64
cg08076018	chr9	129884930	129885231	3.11E-05	0.002057424	ANGPTL2	chr9	129885080	129885081	cg08076018	ANGPTL2	F	CpG_Ocean	II	ANGPTL2	-3.11E-07	1.26E-08	-24.69990178	1.90E-109
cg10305789	chr20	37434017	37434318	6.29E-06	0.002	PPP1R16B	chr20	37434167	37434168	cg10305789	PPP1R16B	F	N_Shore	I	PPP1R16B	-1.93E-06	1.10E-07	-17.4850447	3.17E-61
cg20831708	chr10	102279223	102279524	0	0.002	SEC31B	chr10	102279373	102279374	cg20831708	SEC31B	R	Island	II	SEC31B	-4.52E-06	5.65E-07	-7.996716885	2.96E-15
cg22639011	chr11	30037725	30038026	2.40E-05	0.002	KCNA4	chr11	30037875	30037876	cg22639011	KCNA4	F	Island	II	KCNA4	-8.59E-06	1.72E-06	-5.005545492	6.39E-07
cg20399871	chr7	27204513	27204814	9.76E-05	0.001959184	HOXA9	chr7	27204663	27204664	cg20399871	HOXA9	R	Island	II	HOXA9	-6.84E-07	1.09E-07	-6.297902346	4.21E-10
cg15310492	chr11	30038527	30038828	0.000104938	0.001955056	KCNA4	chr11	30038677	30038678	cg15310492	KCNA4	F	Island	I	KCNA4	-8.59E-06	1.72E-06	-5.005545492	6.39E-07
cg19646112	chr14	24804192	24804493	7.38E-05	0.001938462	ADCY4	chr14	24804342	24804343	cg19646112	ADCY4	F	Island	II	ADCY4	-4.89E-06	1.93E-07	-25.33578446	5.18E-114
cg27527922	chr1	6260031	6260332	4.83E-05	0.001872777	RPL22	chr1	6260181	6260182	cg27527922	RPL22	R	S_Shore	II	RPL22	-1.26E-07	1.35E-08	-9.345289276	4.25E-20
cg03109101	chr10	119304945	119305246	1.83E-05	0.001289377	EMX2	chr10	119305095	119305096	cg03109101	EMX2	F	Island	II	EMX2	-9.15E-06	6.54E-07	-13.99532392	2.28E-41
cg14791413	chr12	129338720	129339021	8.23E-05	0.001287879	GLT1D1	chr12	129338870	129338871	cg14791413	GLT1D1	F	S_Shore	II	GLT1D1	-1.21E-05	1.76E-06	-6.844278991	1.22E-11
cg20786074	chr2	56150105	56150406	4.83E-05	0.001286275	EFEMP1	chr2	56150255	56150256	cg20786074	EFEMP1	F	N_Shore	II	EFEMP1	-1.42E-07	7.32E-09	-19.37039523	4.82E-73
cg08252579	chr3	62359623	62359924	1.98E-05	0.000885714	FEZF2	chr3	62359773	62359774	cg08252579	FEZF2	F	Island	II	FEZF2	-1.26E-05	2.14E-06	-5.919148645	4.21E-09
cg02712145	chr7	30722283	30722584	0	0.000418367	CRHR2	chr7	30722433	30722434	cg02712145	CRHR2	R	Island	II	CRHR2	-4.48E-05	3.27E-06	-13.67098535	1.12E-39
cg14265823	chr2	223163176	223163477	6.19E-05	0.00039899	PAX3	chr2	223163326	223163327	cg14265823	PAX3	F	Island	I	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg13944175	chr19	52222548	52222849	3.09E-05	0.000244429	HAS1	chr19	52222698	52222699	cg13944175	HAS1	R	Island	I	HAS1	-1.51E-06	1.71E-07	-8.816570597	4.02E-18
cg15608397	chr2	223163423	223163724	0	8.74E-05	PAX3	chr2	223163573	223163574	cg15608397	PAX3	F	Island	I	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg05637536	chr1	154474918	154475219	0	0	TDRD10	chr1	154475068	154475069	cg05637536	TDRD10	F	Island	I	TDRD10	-1.23E-05	6.02E-07	-20.36536831	1.55E-79
cg20779964	chr20	54579920	54580221	0	0	CBLN4	chr20	54580070	54580071	cg20779964	CBLN4	R	Island	I	CBLN4	-6.20E-06	5.43E-07	-11.41412752	9.80E-29
cg04839289	chr14	24045124	24045425	0	0	JPH4	chr14	24045274	24045275	cg04839289	JPH4	F	Island	I	JPH4	-4.45E-06	9.28E-07	-4.801554075	1.77E-06
cg14535980	chr2	106681787	106682088	0	0	C2orf40	chr2	106681937	106681938	cg14535980	C2orf40	F	N_Shore	I	C2orf40	-4.77E-07	2.94E-08	-16.23796222	8.38E-54
cg19360104	chr1	154475119	154475420	0	0	TDRD10	chr1	154475269	154475270	cg19360104	TDRD10	R	Island	II	TDRD10	-1.23E-05	6.02E-07	-20.36536831	1.55E-79
cg15994467	chr12	52401373	52401674	0	0	GRASP	chr12	52401523	52401524	cg15994467	GRASP	F	Island	II	GRASP	-2.08E-06	1.28E-07	-16.27659076	4.99E-54
cg26476852	chr7	27204578	27204879	0	0	HOXA9	chr7	27204728	27204729	cg26476852	HOXA9	R	Island	I	HOXA9	-6.84E-07	1.09E-07	-6.297902346	4.21E-10
cg01915791	chr19	36247376	36247677	0	0	HSPB6	chr19	36247526	36247527	cg01915791	HSPB6	F	Island	II	HSPB6	-9.99E-08	4.35E-09	-22.9642329	3.41E-97
cg13080379	chr1	119527006	119527307	0	0	TBX15	chr1	119527156	119527157	cg13080379	TBX15	R	Island	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg13917662	chr13	100548363	100548664	0	0	CLYBL	chr13	100548513	100548514	cg13917662	CLYBL	F	Island	I	CLYBL	-6.32E-06	5.80E-07	-10.90161206	1.83E-26
cg15377283	chr8	55371219	55371520	0	0	SOX17	chr8	55371369	55371370	cg15377283	SOX17	R	Island	II	SOX17	-2.20E-06	1.06E-07	-20.80661601	1.82E-82
cg06360427	chr18	74962522	74962823	0	0	GALR1	chr18	74962672	74962673	cg06360427	GALR1	R	Island	I	GALR1	-0.000100767	1.01E-05	-10.02622598	8.76E-23
cg15975217	chr4	140656776	140657077	0	0	MAML3	chr4	140656926	140656927	cg15975217	MAML3	F	Island	I	MAML3	-1.96E-06	2.36E-07	-8.290334945	2.97E-16
cg02919422	chr8	55370394	55370695	0	0	SOX17	chr8	55370544	55370545	cg02919422	SOX17	R	Island	II	SOX17	-2.20E-06	1.06E-07	-20.80661601	1.82E-82
cg01354473	chr7	27204653	27204954	0	0	HOXA9	chr7	27204803	27204804	cg01354473	HOXA9	F	Island	II	HOXA9	-6.84E-07	1.09E-07	-6.297902346	4.21E-10
cg03576469	chr19	46916911	46917212	0	0	CCDC8	chr19	46917061	46917062	cg03576469	CCDC8	F	S_Shore	II	CCDC8	-7.86E-07	4.31E-08	-18.26385388	5.02E-66
cg05167251	chr2	176987315	176987616	0	0	HOXD9	chr2	176987465	176987466	cg05167251	HOXD9	R	Island	I	HOXD9	-1.13E-06	1.26E-07	-8.959779968	1.20E-18
cg15133719	chr2	223163654	223163955	0	0	PAX3	chr2	223163804	223163805	cg15133719	PAX3	R	Island	II	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg14726637	chr1	207669158	207669459	0	0	CR1	chr1	207669308	207669309	cg14726637	CR1	R	N_Shore	II	CR1	-8.37E-06	1.18E-06	-7.092578654	2.23E-12
cg01347682	chr4	140656644	140656945	0	0	MAML3	chr4	140656794	140656795	cg01347682	MAML3	F	Island	II	MAML3	-1.96E-06	2.36E-07	-8.290334945	2.97E-16
cg23282559	chr13	33590980	33591281	0	0	KL	chr13	33591130	33591131	cg23282559	KL	F	Island	II	KL	-1.02E-05	3.45E-07	-29.54292646	5.93E-145
cg02829688	chr1	119526858	119527159	0	0	TBX15	chr1	119527008	119527009	cg02829688	TBX15	F	Island	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg00123055	chr8	55370801	55371102	0	0	SOX17	chr8	55370951	55370952	cg00123055	SOX17	F	Island	I	SOX17	-2.20E-06	1.06E-07	-20.80661601	1.82E-82
cg19161124	chr7	153583413	153583714	0	0	DPP6	chr7	153583563	153583564	cg19161124	DPP6	F	Island	I	DPP6	-1.35E-05	1.39E-06	-9.673327061	2.26E-21
cg04097639	chr1	200009680	200009981	0	0	NR5A2	chr1	200009830	200009831	cg04097639	NR5A2	F	Island	I	NR5A2	-7.95E-06	5.01E-07	-15.88287564	9.41E-52
cg17804356	chr1	200009777	200010078	0	0	NR5A2	chr1	200009927	200009928	cg17804356	NR5A2	R	Island	II	NR5A2	-7.95E-06	5.01E-07	-15.88287564	9.41E-52
cg18406033	chr2	223159719	223160020	0	0	PAX3	chr2	223159869	223159870	cg18406033	PAX3	R	Island	I	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg10542584	chr3	62356073	62356374	0	0	FEZF2	chr3	62356223	62356224	cg10542584	FEZF2	F	Island	I	FEZF2	-1.26E-05	2.14E-06	-5.919148645	4.21E-09
cg04694437	chr5	88184901	88185202	0	0	MEF2C	chr5	88185051	88185052	cg04694437	MEF2C	R	N_Shore	II	MEF2C	-9.91E-07	8.91E-08	-11.11801506	2.06E-27
cg06495961	chr7	153584432	153584733	0	0	DPP6	chr7	153584582	153584583	cg06495961	DPP6	R	Island	II	DPP6	-1.35E-05	1.39E-06	-9.673327061	2.26E-21
cg16529477	chr2	223164704	223165005	0	0	PAX3	chr2	223164854	223164855	cg16529477	PAX3	F	S_Shore	I	PAX3	-7.14E-06	1.44E-06	-4.972461291	7.56E-07
cg04521004	chr3	157821112	157821413	0	0	SHOX2	chr3	157821262	157821263	cg04521004	SHOX2	R	Island	II	SHOX2	-1.74E-06	3.39E-07	-5.136359459	3.26E-07
cg02900766	chr15	58357169	58357470	0	0	ALDH1A2	chr15	58357319	58357320	cg02900766	ALDH1A2	R	Island	II	ALDH1A2	-6.52E-06	2.91E-07	-22.40907006	2.40E-93
cg14254720	chr1	90097831	90098132	0	0	LRRC8C	chr1	90097981	90097982	cg14254720	LRRC8C	R	N_Shore	II	LRRC8C	-2.79E-06	1.98E-07	-14.07955966	8.20E-42
cg23588217	chr1	119529898	119530199	0	0	TBX15	chr1	119530048	119530049	cg23588217	TBX15	R	Island	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg27560864	chr11	118024189	118024490	0	0	SCN4B	chr11	118024339	118024340	cg27560864	SCN4B	R	S_Shore	II	SCN4B	-3.40E-06	8.20E-08	-41.53366885	2.88E-235
cg15821319	chr20	37434008	37434309	0	0	PPP1R16B	chr20	37434158	37434159	cg15821319	PPP1R16B	F	N_Shore	II	PPP1R16B	-1.93E-06	1.10E-07	-17.4850447	3.17E-61
cg13255282	chr4	5021086	5021387	0	0	CYTL1	chr4	5021236	5021237	cg13255282	CYTL1	F	Island	I	CYTL1	-2.31E-06	1.97E-07	-11.72557885	3.73E-30
cg03531247	chr2	50573335	50573636	0	0	NRXN1	chr2	50573485	50573486	cg03531247	NRXN1	R	N_Shore	I	NRXN1	-3.72E-06	7.93E-07	-4.691566061	3.02E-06
cg16990168	chr1	119525910	119526211	0	0	TBX15	chr1	119526060	119526061	cg16990168	TBX15	F	N_Shore	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg11442732	chrX	133117938	133118239	0	0	GPC3	chrX	133118088	133118089	cg11442732	GPC3	F	Island	I	GPC3	-1.22E-07	8.87E-09	-13.75831442	3.95E-40
cg14068328	chr6	85473937	85474238	0	0	TBX18	chr6	85474087	85474088	cg14068328	TBX18	R	Island	II	TBX18	-3.29E-06	3.35E-07	-9.827919413	5.51E-22
cg02106850	chr6	85473943	85474244	0	0	TBX18	chr6	85474093	85474094	cg02106850	TBX18	R	Island	I	TBX18	-3.29E-06	3.35E-07	-9.827919413	5.51E-22
cg14565725	chr1	119531894	119532195	0	0	TBX15	chr1	119532044	119532045	cg14565725	TBX15	R	Island	I	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg12730323	chr1	200004607	200004908	0	0	NR5A2	chr1	200004757	200004758	cg12730323	NR5A2	R	Island	II	NR5A2	-7.95E-06	5.01E-07	-15.88287564	9.41E-52
cg01381846	chr7	27204635	27204936	0	0	HOXA9	chr7	27204785	27204786	cg01381846	HOXA9	F	Island	II	HOXA9	-6.84E-07	1.09E-07	-6.297902346	4.21E-10
cg07811198	chr7	153585218	153585519	0	0	DPP6	chr7	153585368	153585369	cg07811198	DPP6	F	Island	II	DPP6	-1.35E-05	1.39E-06	-9.673327061	2.26E-21
cg11178293	chr3	62355355	62355656	0	0	FEZF2	chr3	62355505	62355506	cg11178293	FEZF2	F	Island	II	FEZF2	-1.26E-05	2.14E-06	-5.919148645	4.21E-09
cg22081832	chr3	64670309	64670610	0	0	ADAMTS9	chr3	64670459	64670460	cg22081832	ADAMTS9	F	N_Shore	II	ADAMTS9	-4.49E-07	8.53E-08	-5.269298865	1.62E-07
cg16993043	chr1	200007876	200008177	0	0	NR5A2	chr1	200008026	200008027	cg16993043	NR5A2	F	N_Shore	I	NR5A2	-7.95E-06	5.01E-07	-15.88287564	9.41E-52
cg09890775	chr10	131758544	131758845	0	0	EBF3	chr10	131758694	131758695	cg09890775	EBF3	R	Island	II	EBF3	-3.34E-06	1.18E-07	-28.27308393	1.67E-135
cg14564076	chr7	153584723	153585024	0	0	DPP6	chr7	153584873	153584874	cg14564076	DPP6	F	Island	II	DPP6	-1.35E-05	1.39E-06	-9.673327061	2.26E-21
cg27517681	chr1	119528698	119528999	0	0	TBX15	chr1	119528848	119528849	cg27517681	TBX15	F	N_Shore	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg12506930	chr19	58220568	58220869	0	0	ZNF154	chr19	58220718	58220719	cg12506930	ZNF154	F	S_Shore	II	ZNF154	-1.98E-06	3.04E-07	-6.525362051	9.94E-11
cg05767411	chr4	165898675	165898976	0	0	TRIM61	chr4	165898825	165898826	cg05767411	TRIM61	R	CpG_Ocean	I	TRIM61	-4.19E-05	3.29E-06	-12.72257219	6.74E-35
cg17859448	chr1	101703599	101703900	0	0	S1PR1	chr1	101703749	101703750	cg17859448	S1PR1	F	S_Shore	II	S1PR1	-7.46E-07	2.62E-08	-28.49881966	3.54E-137
cg04765848	chr1	53527426	53527727	0	0	PODN	chr1	53527576	53527577	cg04765848	PODN	R	Island	II	PODN	-3.60E-07	2.76E-08	-13.04439641	1.72E-36
cg10406124	chr12	128750892	128751193	0	0	TMEM132C	chr12	128751042	128751043	cg10406124	TMEM132C	R	Island	II	TMEM132C	-1.53E-06	5.59E-08	-27.27747407	3.74E-128
cg21591742	chr2	176980848	176981149	0	0	HOXD10	chr2	176980998	176980999	cg21591742	HOXD10	R	Island	II	HOXD10	-5.95E-06	6.67E-07	-8.921618475	1.66E-18
cg24884142	chr1	119531906	119532207	0	0	TBX15	chr1	119532056	119532057	cg24884142	TBX15	F	Island	I	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg20068535	chr6	151560831	151561132	0	0	AKAP12	chr6	151560981	151560982	cg20068535	AKAP12	F	Island	I	AKAP12	-7.68E-07	2.84E-08	-27.06303129	1.41E-126
cg13919285	chr20	57875975	57876276	0	0	EDN3	chr20	57876125	57876126	cg13919285	EDN3	F	Island	II	EDN3	-5.64E-07	6.93E-08	-8.135926994	1.00E-15
cg00988247	chr3	169378608	169378909	0	0	MECOM	chr3	169378758	169378759	cg00988247	MECOM	F	N_Shore	II	MECOM	-3.44E-06	2.40E-07	-14.34327366	3.25E-43
cg14612428	chr18	11751416	11751717	0	0	GNAL	chr18	11751566	11751567	cg14612428	GNAL	R	Island	II	GNAL	-9.42E-06	2.84E-07	-33.182969	2.42E-172
cg15422685	chr3	62356624	62356925	0	0	FEZF2	chr3	62356774	62356775	cg15422685	FEZF2	R	Island	II	FEZF2	-1.26E-05	2.14E-06	-5.919148645	4.21E-09
cg05031016	chr14	24804003	24804304	0	0	ADCY4	chr14	24804153	24804154	cg05031016	ADCY4	R	Island	II	ADCY4	-4.89E-06	1.93E-07	-25.33578446	5.18E-114
cg08475953	chr5	178003941	178004242	0	0	COL23A1	chr5	178004091	178004092	cg08475953	COL23A1	F	Island	I	COL23A1	-1.95E-06	3.80E-07	-5.130506981	3.36E-07
cg03502002	chr18	74961983	74962284	0	0	GALR1	chr18	74962133	74962134	cg03502002	GALR1	R	Island	I	GALR1	-0.000100767	1.01E-05	-10.02622598	8.76E-23
cg17677030	chr2	50574919	50575220	0	0	NRXN1	chr2	50575069	50575070	cg17677030	NRXN1	F	S_Shore	II	NRXN1	-3.72E-06	7.93E-07	-4.691566061	3.02E-06
cg04534765	chr18	74962219	74962520	0	0	GALR1	chr18	74962369	74962370	cg04534765	GALR1	F	Island	I	GALR1	-0.000100767	1.01E-05	-10.02622598	8.76E-23
cg12993163	chr3	157821257	157821558	0	0	SHOX2	chr3	157821407	157821408	cg12993163	SHOX2	F	Island	I	SHOX2	-1.74E-06	3.39E-07	-5.136359459	3.26E-07
cg02216246	chr11	128564606	128564907	0	0	FLI1	chr11	128564756	128564757	cg02216246	FLI1	R	Island	II	FLI1	-3.07E-06	1.71E-07	-17.95654616	4.07E-64
cg24144440	chr1	119526732	119527033	0	0	TBX15	chr1	119526882	119526883	cg24144440	TBX15	R	Island	II	TBX15	-1.47E-06	7.90E-08	-18.57011321	6.04E-68
cg03507241	chr18	12307499	12307800	0	0	TUBB6	chr18	12307649	12307650	cg03507241	TUBB6	F	Island	II	TUBB6	-3.69E-07	2.54E-08	-14.54772016	2.58E-44
cg22975671	chr17	6926119	6926420	0	0	BCL6B	chr17	6926269	6926270	cg22975671	BCL6B	F	Island	II	BCL6B	-1.63E-06	1.41E-07	-11.60314968	1.36E-29
cg18774195	chr3	170303680	170303981	0	0	SLC7A14	chr3	170303830	170303831	cg18774195	SLC7A14	F	S_Shore	II	SLC7A14	-6.25E-05	7.17E-06	-8.716374804	9.28E-18
cg04887807	chr4	5021161	5021462	0	0	CYTL1	chr4	5021311	5021312	cg04887807	CYTL1	F	Island	I	CYTL1	-2.31E-06	1.97E-07	-11.72557885	3.73E-30
cg14582763	chr19	52956533	52956834	0	0	ZNF578	chr19	52956683	52956684	cg14582763	ZNF578	R	Island	I	ZNF578	-2.04E-05	3.96E-06	-5.160628502	2.87E-07
cg01711160	chr14	85996349	85996650	0	0	FLRT2	chr14	85996499	85996500	cg01711160	FLRT2	R	Island	II	FLRT2	-9.18E-06	5.22E-07	-17.59375074	6.89E-62
cg06865612	chr2	946849	947150	0	0	SNTG2	chr2	946999	947000	cg06865612	SNTG2	R	Island	II	SNTG2	-1.49E-05	1.22E-06	-12.2684144	1.06E-32
cg25047056	chr10	30347814	30348115	0	0	KIAA1462	chr10	30347964	30347965	cg25047056	KIAA1462	R	Island	I	KIAA1462	-1.16E-06	9.99E-08	-11.56556629	2.02E-29
cg07028914	chr6	85473940	85474241	0	0	TBX18	chr6	85474090	85474091	cg07028914	TBX18	R	Island	I	TBX18	-3.29E-06	3.35E-07	-9.827919413	5.51E-22
