DESeq2 analysis results,,,,,,,,,,
Transcript,Gene Symbol,Name,Entrez ID,baseMean,DESeq2 Log2 Fold Change,lfcSE,stat,pvalue,padj,Log2 Fold Change (Tumor/Non-malignant)
MLX.6945,MLX,Max-like protein X ,6945,2963.436616,0.273506194,0.055043751,4.968887247,0.000000673,0.00000212,0.080839018
TCN1.6947,TCN1,Transcobalamin-1 ,6947,34.1446992,-0.708041701,0.335592229,-2.10982746,0.03487322,0.051993197,0.070269757
TCN2.6948,TCN2,Transcobalamin-2 ,6948,943.3490038,-1.003551608,0.106989273,-9.379927311,6.6E-21,1.42E-19,-1.186062592
TCOF1.6949,TCOF1,Treacle protein ,6949,2645.266477,0.128497206,0.058658252,2.190607489,0.028480209,0.043257356,-0.045194844
TCP1.6950,TCP1,T-complex protein 1 subunit alpha ,6950,9684.115047,0.418312209,0.057118883,7.323536217,2.42E-13,1.79E-12,0.211742692
TCP10.6953,TCP10,T-complex protein 10A homolog,6953,0.688463644,-1.278969729,0.411999721,-3.104297559,0.001907314,0.003563524,-1.734188509
TCP11.6954,TCP11,T-complex protein 11 homolog,6954,6.234470588,-0.251863258,0.247243423,-1.018685372,0.308352359,0.36681678,-0.500580218
TECTB.6975,TECTB,Beta-tectorin,6975,0.034026469,0.045390665,0.523767394,0.086661876,0.930940281,NA,5.627755264
TCTA.6988,TCTA,T-cell leukemia translocation-altered gene protein ,6988,4186.011957,-0.04185749,0.066846094,-0.626177045,0.531198822,0.590546625,-0.25378766
DYNLT3.6990,DYNLT3,Dynein light chain Tctex-type 3 ,6990,1542.489175,-0.353273242,0.065897708,-5.360933675,8.28E-08,0.000000295,-0.528576708
TCTE3.6991,TCTE3,Tctex1 domain-containing protein 3 ,6991,123.0895911,0.757946187,0.115390109,6.568554214,5.08E-11,2.74E-10,0.570147421
PPP1R11.6992,PPP1R11,Protein phosphatase 1 regulatory subunit 11 ,6992,4069.000377,-0.031173253,0.042222517,-0.738308726,0.460326865,0.521963899,-0.224847566
DYNLT1.6993,DYNLT1,Dynein light chain Tctex-type 1 ,6993,3208.80041,0.158392964,0.075117078,2.10861455,0.034977866,0.05212484,-0.100023194
TDG.6996,TDG,G/T mismatch-specific thymine DNA glycosylase ,6996,807.0764302,0.192641037,0.064195761,3.000837359,0.002692383,0.004898734,0.02488731
TDGF1.6997,TDGF1,Teratocarcinoma-derived growth factor 1 ,6997,10.23882939,-0.930663637,0.229066115,-4.062860353,0.0000485,0.000116792,-1.118031387
TDGF3.6998,,,6998,1.578338397,-0.811587216,0.31720735,-2.558538499,0.010511318,0.017260216,-1.00112737
TDO2.6999,TDO2,"Tryptophan 2,3-dioxygenase ",6999,86.32598248,1.038017712,0.379297856,2.736682255,0.006206221,0.01062036,1.175475652
PRDX2.7001,PRDX2,Peroxiredoxin-2 ,7001,13371.69882,0.293460571,0.072628144,4.040590277,0.0000533,0.000127398,0.076904999
TEAD1.7003,TEAD1,Transcriptional enhancer factor TEF-1 ,7003,2956.042167,-1.018083159,0.104519046,-9.740647302,2.02E-22,5.56E-21,-1.146976157
TEAD4.7004,TEAD4,Transcriptional enhancer factor TEF-3 ,7004,335.6413523,0.023011034,0.139670329,0.164752485,0.869138804,0.892253053,-0.045986404
TEAD3.7005,TEAD3,Transcriptional enhancer factor TEF-5 ,7005,2994.889684,-0.446159085,0.064258718,-6.943168189,3.83E-12,2.41E-11,-0.614998527
TEC.7006,TEC,Tyrosine-protein kinase Tec ,7006,100.6181323,0.207169085,0.087414208,2.369970382,0.01778951,0.028099848,0.105727104
TECTA.7007,TECTA,Alpha-tectorin,7007,38.11204152,-0.183682437,0.113319019,-1.620932114,0.105032199,0.141537473,-0.298496923
TEF.7008,TEF,Thyrotroph embryonic factor,7008,1989.67368,-0.774062326,0.093613914,-8.268667451,1.35E-16,1.56E-15,-0.943446114
TMBIM6.7009,TMBIM6,Bax inhibitor 1 ,7009,57165.74595,-0.068644377,0.06043538,-1.135830975,0.256027311,0.311981811,-0.237190241
TEK.7010,TEK,Angiopoietin-1 receptor ,7010,453.1315213,-0.601382496,0.133361914,-4.509402095,0.0000065,0.0000178,-0.776633803
TEP1.7011,TEP1,Telomerase protein component 1 ,7011,1612.229974,0.092046203,0.073238533,1.256800196,0.208825995,0.260368981,-0.087611761
TERC.7012,,,7012,2.845135393,1.650672524,0.336701613,4.902478819,0.000000946,0.00000293,1.489123705
TERF1.7013,TERF1,Telomeric repeat-binding factor 1 ,7013,1464.397367,-0.177437335,0.060325784,-2.941318328,0.003268185,0.005857258,-0.342592133
TERF2.7014,TERF2,Telomeric repeat-binding factor 2 ,7014,1390.690253,-0.010696977,0.048357581,-0.221205788,0.824932203,0.85556807,-0.17911481
TERT.7015,TERT,Telomerase reverse transcriptase ,7015,7.119268661,2.755190176,0.310151121,8.883379716,6.49E-19,1.04E-17,2.573028802
TESK1.7016,TESK1,Dual specificity testis-specific protein kinase 1 ,7016,3028.849227,0.234950279,0.073236041,3.20812371,0.00133604,0.002557379,0.017640518
TF.7018,TF,Serotransferrin ,7018,395.8343421,-0.646510183,0.229680734,-2.814821124,0.004880439,0.008510738,-0.895455204
TFAM.7019,TFAM,"Transcription factor A, mitochondrial ",7019,1224.870963,0.076986969,0.06234088,1.23493556,0.216854488,0.269203527,-0.108632868
TFAP2A.7020,TFAP2A,Transcription factor AP-2-alpha ,7020,1152.677225,-0.205131917,0.110666336,-1.853607204,0.063795376,0.090226641,-0.327660478
TFAP2B.7021,TFAP2B,Transcription factor AP-2-beta ,7021,5.989872572,-3.270464088,0.384160556,-8.513274043,1.69E-17,2.2E-16,-4.595136488
TFAP2C.7022,TFAP2C,Transcription factor AP-2 gamma ,7022,1136.367962,0.045416803,0.080507572,0.564130825,0.572665101,0.630218224,-0.162435754
TFAP4.7023,TFAP4,Transcription factor AP-4 ,7023,676.2782935,0.60576823,0.083324427,7.269995726,3.59E-13,2.61E-12,0.421992681
TFCP2.7024,TFCP2,Alpha-globin transcription factor CP2 ,7024,1720.097029,0.127161969,0.056838228,2.237261319,0.025269266,0.038774449,-0.04413574
NR2F1.7025,NR2F1,COUP transcription factor 1 ,7025,1376.925819,-0.586665977,0.134111477,-4.374465125,0.0000122,0.000032,-0.743306783
NR2F2.7026,NR2F2,COUP transcription factor 2 ,7026,4199.138188,-0.387814402,0.070022527,-5.538423357,3.05E-08,0.000000116,-0.530711089
TFDP1.7027,TFDP1,Transcription factor Dp-1 ,7027,3283.849127,-0.007939136,0.057311945,-0.138524977,0.889825531,0.909065498,-0.165642148
TFDP2.7029,TFDP2,Transcription factor Dp-2 ,7029,852.9009195,-0.119774428,0.059729937,-2.005266272,0.044934588,0.065703484,-0.350677985
TFE3.7030,TFE3,Transcription factor E3 ,7030,2855.713714,-0.590003915,0.063329363,-9.316435278,1.2E-20,2.47E-19,-0.684618186
TFF1.7031,TFF1,Trefoil factor 1 ,7031,707.1628949,-0.822476966,0.261009962,-3.15113247,0.001626387,0.003072261,-1.164975422
TFF2.7032,TFF2,Trefoil factor 2 ,7032,0.934117492,-1.847271237,0.534846401,-3.453835034,0.000552675,0.001125471,-2.058539267
TFF3.7033,TFF3,Trefoil factor 3 ,7033,14702.28476,2.695687414,0.299259483,9.007859613,2.1E-19,3.63E-18,2.540506224
TFPI.7035,TFPI,Tissue factor pathway inhibitor ,7035,668.4520954,-0.533722046,0.175564156,-3.040039939,0.002365468,0.004347752,-0.674006741
TFR2.7036,TFR2,Transferrin receptor protein 2 ,7036,8.786754221,0.874108494,0.197934271,4.416155376,0.00001,0.0000268,0.646921785
TFRC.7037,TFRC,Transferrin receptor protein 1 ,7037,1695.993285,-0.502243871,0.116658604,-4.305244981,0.0000167,0.000043,-0.692284524
TG.7038,TG,Thyroglobulin ,7038,223.3977594,-1.928490533,0.234492429,-8.224105757,1.97E-16,2.22E-15,-4.461750902
TGFA.7039,TGFA,Protransforming growth factor alpha [Cleaved into: Transforming growth factor alpha ,7039,369.7245984,-0.655070609,0.16592747,-3.947933441,0.0000788,0.000183164,-0.828692319
TGFB1.7040,TGFB1,Transforming growth factor beta-1 ,7040,1484.52134,-0.226793607,0.109510867,-2.070968975,0.038361696,0.056791459,-0.394314961
TGFB1I1.7041,TGFB1I1,Transforming growth factor beta-1-induced transcript 1 protein ,7041,2788.474297,-1.263362366,0.160247678,-7.883810739,3.18E-15,3.03E-14,-1.490035279
TGFB2.7042,TGFB2,Transforming growth factor beta-2 ,7042,1608.350158,-0.730486675,0.144570967,-5.052789559,0.000000435,0.00000141,-0.926487771
TGFB3.7043,TGFB3,Transforming growth factor beta-3 ,7043,3378.405839,-1.1397551,0.193499685,-5.890216811,3.86E-09,1.64E-08,-1.465070989
LEFTY2.7044,LEFTY2,Left-right determination factor 2 ,7044,81.90447811,-0.040063543,0.240042615,-0.166901793,0.867447322,0.891046169,-0.337284239
TGFBI.7045,TGFBI,Transforming growth factor-beta-induced protein ig-h3 ,7045,2657.547048,-0.265144704,0.120228504,-2.205339797,0.027430259,0.041775405,-0.452827938
TGFBR1.7046,TGFBR1,TGF-beta receptor type-1 ,7046,2519.382966,-0.347652625,0.078482617,-4.429676766,0.00000944,0.0000253,-0.520331593
TGM4.7047,TGM4,Protein-glutamine gamma-glutamyltransferase 4 ,7047,30390.80503,-1.59848346,0.438719512,-3.643520325,0.000268934,0.000573931,-2.112540205
TGFBR2.7048,TGFBR2,TGF-beta receptor type-2 ,7048,3909.827885,-0.866570642,0.120045719,-7.218671785,5.25E-13,3.71E-12,-1.018918023
TGFBR3.7049,TGFBR3,Transforming growth factor beta receptor type 3 ,7049,2279.098254,-1.699646734,0.137693336,-12.34371094,5.27E-35,7.58E-33,-1.748864081
TGIF1.7050,TGIF1,Homeobox protein TGIF1 ,7050,3192.532973,-0.092291736,0.079553481,-1.160121899,0.245999179,0.301201888,-0.286095944
TGM1.7051,TGM1,Protein-glutamine gamma-glutamyltransferase K ,7051,118.4098493,-1.657956065,0.185683086,-8.928955776,4.3E-19,7.08E-18,-1.845174041
TGM2.7052,TGM2,Protein-glutamine gamma-glutamyltransferase 2 ,7052,18241.0276,0.330755959,0.157283276,2.102931525,0.035471756,0.052823812,0.168628249
TGM3.7053,TGM3,Protein-glutamine gamma-glutamyltransferase E ,7053,612.7623289,2.266000028,0.242834119,9.331473023,1.04E-20,2.16E-19,2.140331895
TH.7054,TH,Tyrosine 3-monooxygenase ,7054,2.666226829,-0.648259983,0.349041815,-1.857255938,0.06327475,0.089566595,-3.593535123
THBD.7056,THBD,Thrombomodulin ,7056,973.8767114,-0.688885852,0.16147975,-4.266081981,0.0000199,0.0000507,-0.867791481
THBS1.7057,THBS1,Thrombospondin-1,7057,9281.179991,-0.388591334,0.192194407,-2.021865985,0.043190199,0.063317381,-0.582968569
THBS2.7058,THBS2,Thrombospondin-2,7058,1455.55866,0.729040576,0.190370922,3.829579472,0.000128362,0.000287639,0.551710586
THBS3.7059,THBS3,Thrombospondin-3,7059,1053.973536,0.53761895,0.088505125,6.074438629,1.24E-09,5.65E-09,0.331444077
THBS4.7060,THBS4,Thrombospondin-4,7060,3134.108391,1.518058641,0.224731335,6.754993207,1.43E-11,8.27E-11,1.392370865
TCHH.7062,TCHH,Trichohyalin,7062,16.67438065,0.259422133,0.197441426,1.313919466,0.188873307,0.238114299,0.168114817
THOP1.7064,THOP1,Thimet oligopeptidase ,7064,3536.605739,0.66606753,0.098608131,6.754691796,1.43E-11,8.29E-11,0.388482046
THPO.7066,THPO,Thrombopoietin ,7066,27.79052702,1.516426496,0.212431274,7.138433359,9.44E-13,6.42E-12,1.415147734
THRA.7067,THRA,Thyroid hormone receptor alpha ,7067,2320.517241,-0.584904481,0.072620986,-8.054207413,8E-16,8.35E-15,-0.741792902
THRB.7068,THRB,Thyroid hormone receptor beta ,7068,2388.022363,0.312679392,0.128829741,2.427074599,0.015221126,0.024350237,0.109221303
THRSP.7069,THRSP,Thyroid hormone-inducible hepatic protein ,7069,27.15680829,-2.495253975,0.379422525,-6.576451882,4.82E-11,2.61E-10,-1.342027587
THY1.7070,THY1,Thy-1 membrane glycoprotein ,7070,1426.960988,0.307875793,0.151684257,2.029714876,0.04238553,0.062242664,0.084092028
KLF10.7071,KLF10,Krueppel-like factor 10 ,7071,2491.359862,-0.924641751,0.153790937,-6.012329262,1.83E-09,8.11E-09,-1.166668327
TIA1.7072,TIA1,Nucleolysin TIA-1 isoform p40 ,7072,2880.094428,0.320814747,0.088462222,3.626573459,0.000287207,0.000609865,0.134008095
TIAL1.7073,TIAL1,Nucleolysin TIAR ,7073,3013.72309,0.09943972,0.038063412,2.612475203,0.008988921,0.014950275,-0.10013149
TIAM1.7074,TIAM1,T-lymphoma invasion and metastasis-inducing protein 1 ,7074,644.5944207,-0.514520259,0.12743431,-4.037533231,0.000054,0.000128908,-0.688837403
TIE1.7075,TIE1,Tyrosine-protein kinase receptor Tie-1 ,7075,842.2709626,-0.172604577,0.114659084,-1.505372025,0.132228457,0.174006355,-0.346442736
TIMP1.7076,TIMP1,Metalloproteinase inhibitor 1 ,7076,10658.04084,-0.269766822,0.13750498,-1.961869466,0.049777683,0.072041692,-0.549576483
TIMP2.7077,TIMP2,Metalloproteinase inhibitor 2 ,7077,13293.20216,-0.877734941,0.11949842,-7.345159364,2.06E-13,1.54E-12,-1.064740676
TIMP3.7078,TIMP3,Metalloproteinase inhibitor 3 ,7078,17440.28996,-1.200086748,0.127226954,-9.432645443,4E-21,8.88E-20,-1.395591878
TIMP4.7079,TIMP4,Metalloproteinase inhibitor 4 ,7079,168.6001305,-1.170786175,0.239341477,-4.891697798,0.000001,0.00000308,-1.461707141
NKX2-1.7080,NKX2-1,Homeobox protein Nkx-2.1 ,7080,40.36039385,1.15995616,0.451672993,2.56813265,0.010224802,0.016835984,0.362445215
TJP1.7082,TJP1,Tight junction protein ZO-1 ,7082,6825.396545,0.184500951,0.087792101,2.101566655,0.035591253,0.052985267,0.055699015
TK1.7083,TK1,"Thymidine kinase, cytosolic ",7083,710.6872168,1.247588125,0.157811557,7.905556174,2.67E-15,2.57E-14,0.984368868
TK2.7084,TK2,"Thymidine kinase 2, mitochondrial ",7084,2018.836775,0.050619291,0.057458952,0.880964404,0.378337087,0.439627557,-0.116905877
TKT.7086,TKT,Transketolase ,7086,9449.759304,0.4508836,0.085321321,5.284536089,0.000000126,0.000000437,0.241051131
ICAM5.7087,ICAM5,Intercellular adhesion molecule 5 ,7087,11.56314267,-0.51314467,0.215622907,-2.379824464,0.017320887,0.027431788,-0.705875671
TLE1.7088,TLE1,Transducin-like enhancer protein 1 ,7088,3066.855842,0.465908268,0.079620188,5.851634875,4.87E-09,2.05E-08,0.329163637
TLE2.7089,TLE2,Transducin-like enhancer protein 2 ,7089,2077.088952,-0.818103428,0.102663548,-7.968781919,1.6E-15,1.6E-14,-0.955654125
TLE3.7090,TLE3,Transducin-like enhancer protein 3 ,7090,5729.920778,0.376887288,0.05790686,6.508508468,7.59E-11,4.03E-10,0.184483641
TLE4.7091,TLE4,Transducin-like enhancer protein 4 ,7091,712.2713188,-0.260461126,0.132362593,-1.96778501,0.04909278,0.071185089,-0.450286733
TLL1.7092,TLL1,Tolloid-like protein 1 ,7092,125.2616528,-0.468611757,0.156122469,-3.00156512,0.002685956,0.0048889,-0.638129211
TLL2.7093,TLL2,Tolloid-like protein 2 ,7093,121.1996059,0.539038608,0.177986207,3.028541465,0.002457374,0.004504125,0.353726746
TLN1.7094,TLN1,Talin-1,7094,21950.58927,-0.856900236,0.089564207,-9.567440649,1.1E-21,2.64E-20,-0.983700726
SEC62.7095,SEC62,Translocation protein SEC62 ,7095,11388.54783,-0.215100378,0.072661585,-2.960303944,0.003073357,0.00553453,-0.364203785
TLR1.7096,TLR1,Toll-like receptor 1 ,7096,141.2980052,-0.973425314,0.15757439,-6.177560427,6.51E-10,3.08E-09,-1.179201508
TLR2.7097,TLR2,Toll-like receptor 2 ,7097,344.0014861,-1.550700544,0.156254602,-9.924191211,3.27E-23,9.77E-22,-1.55302452
TLR3.7098,TLR3,Toll-like receptor 3 ,7098,354.9532123,-1.25999048,0.157856064,-7.981894715,1.44E-15,1.45E-14,-1.413112666
TLR4.7099,TLR4,Toll-like receptor 4 ,7099,652.6216051,-0.395207272,0.15905704,-2.484688955,0.012966467,0.021003262,-0.646448691
TLR5.7100,TLR5,Toll-like receptor 5 ,7100,387.9099162,-0.6210037,0.098023627,-6.33524508,2.37E-10,1.18E-09,-0.802116048
NR2E1.7101,NR2E1,Nuclear receptor subfamily 2 group E member 1 ,7101,7.735614221,3.039342428,0.379757748,8.003371747,1.21E-15,1.23E-14,4.510815609
TSPAN7.7102,TSPAN7,Tetraspanin-7 ,7102,941.8198897,-1.004594088,0.134553037,-7.466156895,8.26E-14,6.53E-13,-1.169843722
TSPAN8.7103,TSPAN8,Tetraspanin-8 ,7103,6215.597686,0.13735721,0.174708996,0.786205711,0.431746981,0.49344723,-0.06767737
TM4SF4.7104,TM4SF4,Transmembrane 4 L6 family member 4 ,7104,1.663881005,0.134922151,0.395919212,0.340782027,0.733267682,0.776301049,-0.681336627
TSPAN6.7105,TSPAN6,Tetraspanin-6 ,7105,3129.599184,0.022926412,0.081922155,0.279856061,0.779587939,0.816507926,-0.212380064
TSPAN4.7106,TSPAN4,Tetraspanin-4 ,7106,1178.839213,-0.258736438,0.109889302,-2.354518887,0.018546701,0.029181904,-0.510778673
GPR137B.7107,GPR137B,Integral membrane protein GPR137B ,7107,824.2935738,0.233264463,0.115831922,2.013818456,0.044028597,0.064472372,0.079791007
TM7SF2.7108,TM7SF2,Delta,7108,7758.657517,0.866550212,0.134683863,6.433957233,1.24E-10,6.41E-10,0.600957494
TRAPPC10.7109,TRAPPC10,Trafficking protein particle complex subunit 10 ,7109,1969.192498,0.044554399,0.05557355,0.801719505,0.422715231,0.484385267,-0.093905476
TMF1.7110,TMF1,TATA element modulatory factor ,7110,2956.488807,-0.182514832,0.075914362,-2.404220056,0.016207014,0.025794292,-0.305199047
TMOD1.7111,TMOD1,Tropomodulin-1 ,7111,1056.00964,-0.565579769,0.103151642,-5.482993373,4.18E-08,0.000000156,-0.760200035
TMPO.7112,TMPO,"Lamina-associated polypeptide 2, isoform alpha ",7112,1770.638198,-0.094015444,0.072003094,-1.305713941,0.191649855,0.241042849,-0.289921621
TMPRSS2.7113,TMPRSS2,Transmembrane protease serine 2 ,7113,70765.40458,0.514479544,0.152217019,3.37990815,0.000725101,0.001450201,0.288049158
TMSL3.7117,,,7117,36355.95058,-0.099936395,0.118247963,-0.845142628,0.39803121,0.459997406,-0.312731411
CLDN5.7122,CLDN5,Claudin-5 ,7122,840.9447432,-0.384150741,0.166110105,-2.312627169,0.020743146,0.03234301,-0.714188693
CLEC3B.7123,CLEC3B,Tetranectin ,7123,600.4001966,-0.925261876,0.163886417,-5.645750845,1.64E-08,6.48E-08,-1.257182175
TNF.7124,TNF,Tumor necrosis factor ,7124,15.92794724,-0.525190578,0.218104461,-2.407977234,0.016041181,0.025542517,-0.748938961
TNNC2.7125,TNNC2,"Troponin C, skeletal muscle",7125,53.30527091,-0.745121233,0.279581436,-2.665131285,0.007695827,0.01295163,-1.381730744
TNFAIP1.7126,TNFAIP1,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 ,7126,2233.552036,-0.123683943,0.042187466,-2.931769876,0.003370364,0.006025144,-0.280268909
TNFAIP2.7127,TNFAIP2,Tumor necrosis factor alpha-induced protein 2 ,7127,2279.417148,-0.337085285,0.169544313,-1.988183971,0.046791347,0.06816834,-0.595478436
TNFAIP3.7128,TNFAIP3,Tumor necrosis factor alpha-induced protein 3 ,7128,1702.880341,-0.680172903,0.14685683,-4.631537421,0.00000363,0.0000103,-0.883071178
TNFAIP6.7130,TNFAIP6,Tumor necrosis factor-inducible gene 6 protein ,7130,15.34346143,-0.258123274,0.21278619,-1.213064035,0.225105339,0.278218448,-0.49029275
TNFRSF1A.7132,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A ,7132,4637.362445,-0.175299395,0.065209927,-2.688231727,0.007183153,0.012163735,-0.381957225
TNFRSF1B.7133,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B ,7133,1059.548498,-0.06422043,0.13178118,-0.48732626,0.626027141,0.67983589,-0.321589736
TNNC1.7134,TNNC1,"Troponin C, slow skeletal and cardiac muscles ",7134,250.5412437,-0.505247963,0.317400986,-1.591828586,0.111423225,0.149360682,-0.937873785
TNNI1.7135,TNNI1,"Troponin I, slow skeletal muscle ",7135,319.0373242,-0.281210522,0.216087139,-1.30137556,0.193129935,0.242665068,-0.633645928
TNNI2.7136,TNNI2,"Troponin I, fast skeletal muscle ",7136,37.19971945,-0.680860419,0.316261342,-2.152841115,0.031331168,0.047179253,-0.617249532
TNNI3.7137,TNNI3,"Troponin I, cardiac muscle ",7137,6.212734011,1.341454437,0.431490722,3.108883621,0.001877957,0.003512791,0.985192772
TNNT1.7138,TNNT1,"Troponin T, slow skeletal muscle ",7138,171.8840698,0.116236646,0.488210103,0.238087343,0.811813351,0.844663843,-0.665984807
TNNT2.7139,TNNT2,"Troponin T, cardiac muscle ",7139,24.25711486,0.181342801,0.297496971,0.609561839,0.542152097,0.601064597,-0.674812999
TNNT3.7140,TNNT3,"Troponin T, fast skeletal muscle ",7140,66.40975093,-1.135496176,0.426523346,-2.662213422,0.007762864,0.013054113,-1.178615921
TNP1.7141,TNP1,Spermatid nuclear transition protein 1 ,7141,0.019325928,0.054115518,0.346251962,0.15628942,0.875804896,NA,Inf
TNP2.7142,TNP2,Nuclear transition protein 2 ,7142,0.038212512,0.164070775,0.451397835,0.363472667,0.716251827,NA,Inf
TNR.7143,TNR,Tenascin-R ,7143,1.079802844,-0.539438759,0.392609911,-1.373981513,0.169447422,0.216578418,-0.796249478
TNS1.7145,TNS1,Tensin-1,7145,24236.62212,-1.494877897,0.150222886,-9.95106627,2.49E-23,7.59E-22,-1.640574295
TNXB.7148,TNXB,Tenascin-X ,7148,1613.135776,-0.064221207,0.146330278,-0.438878459,0.660749606,0.71138563,-0.249192508
TOP1.7150,TOP1,DNA topoisomerase 1 ,7150,5315.598068,0.184014981,0.06928189,2.656032931,0.007906589,0.013272469,0.040926157
TOP1P1.7151,,,7151,203.7238807,0.243071264,0.056711582,4.286095653,0.0000182,0.0000466,0.069330913
TOP1P2.7152,,,7152,17.09663854,0.68782966,0.136521547,5.038249807,0.00000047,0.00000151,0.447089697
TOP2A.7153,TOP2A,DNA topoisomerase 2-alpha ,7153,698.7205763,1.202825391,0.194127937,6.196044793,5.79E-10,2.75E-09,1.038868446
TOP2B.7155,TOP2B,DNA topoisomerase 2-beta ,7155,9394.594489,-0.052685278,0.058581264,-0.899353738,0.368464273,0.429433504,-0.192241321
TOP3A.7156,TOP3A,DNA topoisomerase 3-alpha ,7156,846.3526392,0.160062522,0.051920217,3.082855438,0.002050247,0.003808996,0.005912468
TP53.7157,TP53,Cellular tumor antigen p53 ,7157,3140.039688,0.274242058,0.084580729,3.242370465,0.001185398,0.002291962,0.087209368
TP53BP1.7158,TP53BP1,Tumor suppressor p53-binding protein 1 ,7158,2498.331006,-0.136904613,0.072283349,-1.893999326,0.058225099,0.0829866,-0.258828403
TP53BP2.7159,TP53BP2,Apoptosis-stimulating of p53 protein 2 ,7159,1981.335128,0.085030353,0.060936892,1.395383804,0.162900133,0.209146278,-0.085165457
TP73.7161,TP73,Tumor protein p73 ,7161,169.434933,-0.826938069,0.171208777,-4.829998112,0.00000137,0.00000413,-1.043218018
TPBG.7162,TPBG,Trophoblast glycoprotein ,7162,789.7181349,-0.460122853,0.106164715,-4.334046889,0.0000146,0.000038,-0.618149328
TPD52.7163,TPD52,Tumor protein D52 ,7163,20669.5939,0.834561963,0.113345061,7.363020083,1.8E-13,1.36E-12,0.584338337
TPD52L1.7164,TPD52L1,Tumor protein D53 ,7164,2423.420528,-0.568999729,0.095251093,-5.973681909,2.32E-09,1.01E-08,-0.649341097
TPD52L2.7165,TPD52L2,Tumor protein D54 ,7165,5598.906182,-0.082573822,0.043613062,-1.893327778,0.058314293,0.083101343,-0.29541801
TPH1.7166,TPH1,Tryptophan 5-hydroxylase 1 ,7166,22.59110286,-1.066566374,0.271480569,-3.92870245,0.0000854,0.000197177,-1.107613434
TPI1.7167,TPI1,Triosephosphate isomerase ,7167,13598.35975,0.169252911,0.077826756,2.174739377,0.029649652,0.0448839,-0.058800386
TPM1.7168,TPM1,Tropomyosin alpha-1 chain ,7168,32559.69833,-1.387250448,0.131497379,-10.54964335,5.1E-26,2.31E-24,-1.584079296
TPM2.7169,TPM2,Tropomyosin beta chain ,7169,39721.84688,-1.19983649,0.184484564,-6.503722935,7.84E-11,4.15E-10,-1.486564736
TPM3.7170,TPM3,Tropomyosin alpha-3 chain ,7170,9224.582539,0.050777688,0.091581189,0.55445544,0.579267193,0.636568325,-0.145983024
TPM4.7171,TPM4,Tropomyosin alpha-4 chain ,7171,18216.45264,-0.250270412,0.061918134,-4.041956595,0.000053,0.000126706,-0.442819355
TPMT.7172,TPMT,Thiopurine S-methyltransferase ,7172,1887.224783,0.144921597,0.058936611,2.458940138,0.013934785,0.022446315,-0.06416892
TPO.7173,TPO,Thyroid peroxidase ,7173,17.20280144,0.552452851,0.263161608,2.099291213,0.035791238,0.053262262,-0.572523841
TPP2.7174,TPP2,Tripeptidyl-peptidase 2 ,7174,1719.861826,-0.362980846,0.072424269,-5.011867595,0.000000539,0.00000172,-0.452396073
TPR.7175,TPR,Nucleoprotein TPR ,7175,5654.151049,-0.177484845,0.068030715,-2.608892828,0.009083569,0.015098503,-0.290173783
TPSAB1.7177,TPSAB1,Tryptase alpha/beta-1 ,7177,852.5988718,-0.4696638,0.17621363,-2.665309146,0.007691758,0.012949338,-0.80260434
TPT1.7178,TPT1,Translationally-controlled tumor protein ,7178,159969.2795,0.098879788,0.097403564,1.015155753,0.310031589,0.368608098,-0.138821869
TPTE.7179,TPTE,Putative tyrosine-protein phosphatase TPTE ,7179,2.86048431,-0.09590763,0.293234529,-0.327067997,0.743616457,0.785281966,1.415777084
CRISP2.7180,CRISP2,Cysteine-rich secretory protein 2 ,7180,43.97493075,-1.256816917,0.335350528,-3.7477708,0.000178413,0.000390598,-1.499901497
NR2C1.7181,NR2C1,Nuclear receptor subfamily 2 group C member 1 ,7181,591.4243322,-0.081289235,0.055882511,-1.454645351,0.145767469,0.189631532,-0.251564604
NR2C2.7182,NR2C2,Nuclear receptor subfamily 2 group C member 2 ,7182,1862.273884,-0.287261064,0.106958908,-2.68571427,0.007237495,0.012246001,-0.388643524
HSP90B1.7184,HSP90B1,Endoplasmin ,7184,64207.95865,0.38205375,0.08897279,4.294051566,0.0000175,0.0000451,0.263229108
TRAF1.7185,TRAF1,TNF receptor-associated factor 1 ,7185,455.1913397,-0.12412818,0.109037767,-1.138396207,0.254955077,0.310794024,-0.351194217
TRAF2.7186,TRAF2,TNF receptor-associated factor 2 ,7186,1132.75978,0.42190235,0.072992786,5.780055476,7.47E-09,3.08E-08,0.198076821
TRAF3.7187,TRAF3,TNF receptor-associated factor 3 ,7187,384.8508713,-0.190851931,0.074397329,-2.565306229,0.010308478,0.016957708,-0.359508748
TRAF5.7188,TRAF5,TNF receptor-associated factor 5 ,7188,540.0621443,-0.69090821,0.107408241,-6.43254374,1.25E-10,6.46E-10,-0.851309295
TRAF6.7189,TRAF6,TNF receptor-associated factor 6 ,7189,305.6521187,-0.425421754,0.07416809,-5.735913548,9.7E-09,3.93E-08,-0.571556892
TRH.7200,TRH,Pro-thyrotropin-releasing hormone ,7200,4.968265742,-3.866609864,0.328502716,-11.77040456,5.55E-32,5.86E-30,-4.3864494
