"id","species","taxonId","ensembl","entrez","name","fullname","synonym","signature","chromStart","chromEnd","chromStrand","chromName","band","goTerms","function","goFunctions","goLocalizations","cerebralLocalization","nrIntxsValidated","nrIntxsPredicted","transcripts","humanOrthologs","mouseOrthologs","bovineOrthologs","lastModified"
"64053","Homo sapiens","9606","ENSG00000115590","7850","IL1R2","interleukin 1 receptor, type II ","CD121b|CDw121b|IL-1R-2|IL-1RT-2|IL-1RT2|IL1R2c|IL1RB","IL1R2|IDBG-64053|ENSG00000115590|7850","101991844","102028544","1","2","q11.2","GO:0004908|interleukin-1 receptor activity|molecular_function#GO:0004910|interleukin-1, Type II, blocking receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0006955|immune response|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0045087|innate immune response|biological_process"," interleukin-1","GO:0004908: interleukin-1 receptor activity#GO:0004910: interleukin-1, Type II, blocking receptor activity#GO:0005515: protein binding","GO:0004908: interleukin-1 receptor activity,GO:0004910: interleukin-1, Type II, blocking receptor activity,GO:0005515: protein binding","Extracellular","9","0","64055|243672|383827|383829","","Il1r2|IDBG-148186|ENSMUSG00000026073|16178","IL1R2|IDBG-630754|ENSBTAG00000006343|515700","2017-02-20"
"64088","Homo sapiens","9606","ENSG00000115594","3554","IL1R1","interleukin 1 receptor, type I ","CD121A|D2S1473|IL-1R-alpha|IL1R|IL1RA|P80","IL1R1|IDBG-64088|ENSG00000115594|3554","102064544","102179874","1","2","q11.2","GO:0002020|protease binding|molecular_function#GO:0004871|signal transducer activity|molecular_function#GO:0004888|transmembrane signaling receptor activity|molecular_function#GO:0004908|interleukin-1 receptor activity|molecular_function#GO:0004909|interleukin-1, Type I, activating receptor activity|molecular_function#GO:0005161|platelet-derived growth factor receptor binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006955|immune response|biological_process#GO:0007165|signal transduction|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0009986|cell surface|cellular_component#GO:0016020|membrane|cellular_component#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0045087|innate immune response|biological_process#GO:0050727|regulation of inflammatory response|biological_process#GO:0070498|interleukin-1-mediated signaling pathway|biological_process#GO:0070555|response to interleukin-1|biological_process"," interleukin-1","GO:0002020: protease binding#GO:0004871: signal transducer activity#GO:0004888: transmembrane signaling receptor activity#GO:0004908: interleukin-1 receptor activity#GO:0004909: interleukin-1, Type I, activating receptor activity#GO:0005161: platelet-derived growth factor receptor binding#GO:0005515: protein binding","GO:0002020: protease binding,GO:0004871: signal transducer activity,GO:0004888: transmembrane signaling receptor activity,GO:0004908: interleukin-1 receptor activity,GO:0004909: interleukin-1, Type I, activating receptor activity,GO:0005161: platelet-derived growth factor receptor binding,GO:0005515: protein binding","Extracellular","44","14","295128|295121|295120|295118|295119|383839|383848|383853|383854|383857|383861|383864|383865","","Il1r1|IDBG-148254|ENSMUSG00000026072|16177","IL1R1|IDBG-630765|ENSBTAG00000005273|515640","2017-02-20"
"64113","Homo sapiens","9606","ENSG00000115598","8808","IL1RL2","interleukin 1 receptor-like 2 ","IL-1Rrp2|IL-36R|IL1R-rp2|IL1RRP2","IL1RL2|IDBG-64113|ENSG00000115598|8808","102186973","102240002","1","2","q12.1","GO:0004908|interleukin-1 receptor activity|molecular_function#GO:0004909|interleukin-1, Type I, activating receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006968|cellular defense response|biological_process#GO:0007165|signal transduction|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0032755|positive regulation of interleukin-6 production|biological_process#GO:0045087|innate immune response|biological_process#GO:0045582|positive regulation of T cell differentiation|biological_process#GO:0050727|regulation of inflammatory response|biological_process#GO:0070498|interleukin-1-mediated signaling pathway|biological_process"," interleukin-1","GO:0004908: interleukin-1 receptor activity#GO:0004909: interleukin-1, Type I, activating receptor activity#GO:0005515: protein binding","GO:0004908: interleukin-1 receptor activity,GO:0004909: interleukin-1, Type I, activating receptor activity,GO:0005515: protein binding","Plasma membrane","5","0","64115|383871|383872|599722","","Il1rl2|IDBG-148344|ENSMUSG00000070942|107527","IL1RL2|IDBG-630827|ENSBTAG00000005704|522114","2017-02-20"
"64166","Homo sapiens","9606","ENSG00000115602","9173","IL1RL1","interleukin 1 receptor-like 1 ","DER4|FIT-1|IL33R|ST2|ST2L|ST2V|T1","IL1RL1|IDBG-64166|ENSG00000115602|9173","102311502","102352037","1","2","q12.1","GO:0002113|interleukin-33 binding|molecular_function#GO:0002114|interleukin-33 receptor activity|molecular_function#GO:0002826|negative regulation of T-helper 1 type immune response|biological_process#GO:0004896|cytokine receptor activity|molecular_function#GO:0004908|interleukin-1 receptor activity|molecular_function#GO:0005057|receptor signaling protein activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0006955|immune response|biological_process#GO:0007165|signal transduction|biological_process#GO:0009897|external side of plasma membrane|cellular_component#GO:0016020|membrane|cellular_component#GO:0016021|integral component of membrane|cellular_component#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0031012|extracellular matrix|cellular_component#GO:0032689|negative regulation of interferon-gamma production|biological_process#GO:0032754|positive regulation of interleukin-5 production|biological_process#GO:0035556|intracellular signal transduction|biological_process#GO:0038172|interleukin-33-mediated signaling pathway|biological_process#GO:0043032|positive regulation of macrophage activation|biological_process#GO:0043124|negative regulation of I-kappaB kinase/NF-kappaB signaling|biological_process#GO:0045087|innate immune response|biological_process#GO:0050729|positive regulation of inflammatory response|biological_process#GO:0090197|positive regulation of chemokine secretion|biological_process"," protein binding","GO:0002113: interleukin-33 binding#GO:0002114: interleukin-33 receptor activity#GO:0004896: cytokine receptor activity#GO:0004908: interleukin-1 receptor activity#GO:0005057: receptor signaling protein activity#GO:0005515: protein binding","GO:0002113: interleukin-33 binding,GO:0002114: interleukin-33 receptor activity,GO:0004896: cytokine receptor activity,GO:0004908: interleukin-1 receptor activity,GO:0005057: receptor signaling protein activity,GO:0005515: protein binding","Extracellular","12","3","64168|64170|295113|295114|383886|383889","","Il1rl1|IDBG-148423|ENSMUSG00000026069|17082","IL1RL1|IDBG-630831|ENSBTAG00000018571|520709","2017-02-20"
"64199","Homo sapiens","9606","ENSG00000115604","8809","IL18R1","interleukin 18 receptor 1 ","CD218a|CDw218a|IL-1Rrp|IL18RA|IL1RRP","IL18R1|IDBG-64199|ENSG00000115604|8809","102311529","102398775","1","2","q12.1","GO:0004872|receptor activity|molecular_function#GO:0004908|interleukin-1 receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0006955|immune response|biological_process#GO:0007165|signal transduction|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0030101|natural killer cell activation|biological_process#GO:0032729|positive regulation of interferon-gamma production|biological_process#GO:0035655|interleukin-18-mediated signaling pathway|biological_process#GO:0042008|interleukin-18 receptor activity|molecular_function#GO:0042346|positive regulation of NF-kappaB import into nucleus|biological_process#GO:0045063|T-helper 1 cell differentiation|biological_process#GO:0045087|innate immune response|biological_process"," interleukin-18 receptor activity","GO:0004872: receptor activity#GO:0004908: interleukin-1 receptor activity#GO:0005515: protein binding#GO:0042008: interleukin-18 receptor activity","GO:0004872: receptor activity,GO:0004908: interleukin-1 receptor activity,GO:0005515: protein binding,GO:0042008: interleukin-18 receptor activity","Plasma membrane","9","2","64201|64203|295103|295111","","Il18r1|IDBG-148535|ENSMUSG00000026070|16182","IL18R1|IDBG-630853|ENSBTAG00000001034|407221","2017-02-20"
"64252","Homo sapiens","9606","ENSG00000115607","8807","IL18RAP","interleukin 18 receptor accessory protein ","ACPL|CD218b|CDw218b|IL-18R-beta|IL-18RAcP|IL-18Rbeta|IL-1R-7|IL-1R7|IL-1RAcPL|IL18RB","IL18RAP|IDBG-64252|ENSG00000115607|8807","102418689","102452565","1","2","q12.1","GO:0004872|receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0006954|inflammatory response|biological_process#GO:0006955|immune response|biological_process#GO:0007165|signal transduction|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0016021|integral component of membrane|cellular_component"," protein binding","GO:0004872: receptor activity#GO:0005515: protein binding","GO:0004872: receptor activity,GO:0005515: protein binding","Plasma membrane","6","0","64254|295108|383922","","Il18rap|IDBG-148672|ENSMUSG00000026068|16174","IL18RAP|IDBG-630876|ENSBTAG00000033748|493716","2017-02-20"
"64384","Homo sapiens","9606","ENSG00000007312","974","CD79B","CD79b molecule, immunoglobulin-associated beta ","AGM6|B29|IGB","CD79B|IDBG-64384|ENSG00000007312|974","63928740","63932354","-1","17","q23.3","GO:0004888|transmembrane signaling receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0005794|Golgi apparatus|cellular_component#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006955|immune response|biological_process#GO:0007165|signal transduction|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0009897|external side of plasma membrane|cellular_component#GO:0016020|membrane|cellular_component#GO:0019815|B cell receptor complex|cellular_component#GO:0050853|B cell receptor signaling pathway|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component"," protein binding","GO:0004888: transmembrane signaling receptor activity#GO:0005515: protein binding","GO:0004888: transmembrane signaling receptor activity,GO:0005515: protein binding","Nucleus","12","1","64386|64388|244934","","Cd79b|IDBG-213455|ENSMUSG00000040592|15985","CD79B|IDBG-641775|ENSBTAG00000044204|509801","2017-02-20"
"64502","Homo sapiens","9606","ENSG00000108622","3384","ICAM2","intercellular adhesion molecule 2 ","CD102","ICAM2|IDBG-64502|ENSG00000108622|3384","64002594","64020634","-1","17","q23.3","GO:0001931|uropod|cellular_component#GO:0005178|integrin binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0016020|membrane|cellular_component#GO:0016337|single organismal cell-cell adhesion|biological_process#GO:0030198|extracellular matrix organization|biological_process#GO:0050776|regulation of immune response|biological_process#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0071944|cell periphery|cellular_component"," protein binding","GO:0005178: integrin binding#GO:0005515: protein binding","GO:0005178: integrin binding,GO:0005515: protein binding","Plasma membrane","6","1","383425|383427|383430|759949|759237|762349|759754|764835|762020|764368|764560","","Icam2|IDBG-213473|ENSMUSG00000001029|15896","ICAM2|IDBG-641832|ENSBTAG00000019432|616254","2017-02-20"
"65161","Homo sapiens","9606","ENSG00000121858","8743","TNFSF10","tumor necrosis factor (ligand) superfamily, member 10 ","Apo-2L|APO2L|CD253|TL2|TRAIL","TNFSF10|IDBG-65161|ENSG00000121858|8743","172505508","172523507","-1","3","q26.31","GO:0005102|receptor binding|molecular_function#GO:0005125|cytokine activity|molecular_function#GO:0005164|tumor necrosis factor receptor binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0006915|apoptotic process|biological_process#GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process|biological_process#GO:0006955|immune response|biological_process#GO:0007165|signal transduction|biological_process#GO:0007267|cell-cell signaling|biological_process#GO:0008584|male gonad development|biological_process#GO:0016020|membrane|cellular_component#GO:0032813|tumor necrosis factor receptor superfamily binding|molecular_function#GO:0032868|response to insulin|biological_process#GO:0043065|positive regulation of apoptotic process|biological_process#GO:0043123|positive regulation of I-kappaB kinase/NF-kappaB signaling|biological_process#GO:0043280|positive regulation of cysteine-type endopeptidase activity involved in apoptotic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0070062|extracellular vesicular exosome|cellular_component#GO:0090200|positive regulation of release of cytochrome c from mitochondria|biological_process#GO:0097190|apoptotic signaling pathway|biological_process#GO:2001238|positive regulation of extrinsic apoptotic signaling pathway|biological_process#GO:2001239|regulation of extrinsic apoptotic signaling pathway in absence of ligand|biological_process"," metal ion binding","GO:0005102: receptor binding#GO:0005125: cytokine activity#GO:0005164: tumor necrosis factor receptor binding#GO:0005515: protein binding#GO:0032813: tumor necrosis factor receptor superfamily binding#GO:0046872: metal ion binding","GO:0005102: receptor binding,GO:0005125: cytokine activity,GO:0005164: tumor necrosis factor receptor binding,GO:0005515: protein binding,GO:0032813: tumor necrosis factor receptor superfamily binding,GO:0046872: metal ion binding","Extracellular","52","0","65163|385454|385455","","Tnfsf10|IDBG-134362|ENSMUSG00000039304|22035","BT.20790|IDBG-636176|ENSBTAG00000018994|507215","2017-02-20"
"65484","Homo sapiens","9606","ENSG00000111802","51567","TDP2","tyrosyl-DNA phosphodiesterase 2 ","","TDP2|IDBG-65484|ENSG00000111802|51567","24649977","24667033","-1","6","p22.3","GO:0000287|magnesium ion binding|molecular_function#GO:0003697|single-stranded DNA binding|molecular_function#GO:0003714|transcription corepressor activity|molecular_function#GO:0004518|nuclease activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005634|nucleus|cellular_component#GO:0005730|nucleolus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006302|double-strand break repair|biological_process#GO:0007166|cell surface receptor signaling pathway|biological_process#GO:0016605|PML body|cellular_component#GO:0030145|manganese ion binding|molecular_function#GO:0036317|tyrosyl-RNA phosphodiesterase activity|molecular_function#GO:0045171|intercellular bridge|cellular_component#GO:0070260|5'-tyrosyl-DNA phosphodiesterase activity|molecular_function#GO:0090305|nucleic acid phosphodiester bond hydrolysis|biological_process#GO:2001141|regulation of RNA biosynthetic process|biological_process"," 5'-tyrosyl-DNA phosphodiesterase activity","GO:0000287: magnesium ion binding#GO:0003697: single-stranded DNA binding#GO:0003714: transcription corepressor activity#GO:0004518: nuclease activity#GO:0005515: protein binding#GO:0030145: manganese ion binding#GO:0036317: tyrosyl-RNA phosphodiesterase activity#GO:0070260: 5'-tyrosyl-DNA phosphodiesterase activity","GO:0000287: magnesium ion binding,GO:0003697: single-stranded DNA binding,GO:0003714: transcription corepressor activity,GO:0004518: nuclease activity,GO:0005515: protein binding,GO:0030145: manganese ion binding,GO:0036317: tyrosyl-RNA phosphodiesterase activity,GO:0070260: 5'-tyrosyl-DNA phosphodiesterase activity","Nucleus","39","1","65486|65488","","Tdp2|IDBG-139097|ENSMUSG00000035958|56196","TDP2|IDBG-635578|ENSBTAG00000000365|507579","2017-02-20"
"65737","Homo sapiens","9606","ENSG00000105383","945","CD33","CD33 molecule ","p67|SIGLEC-3|SIGLEC3","CD33|IDBG-65737|ENSG00000105383|945","51225064","51243860","1","19","q13.41","GO:0004872|receptor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005886|plasma membrane|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0007155|cell adhesion|biological_process#GO:0007165|signal transduction|biological_process#GO:0007267|cell-cell signaling|biological_process#GO:0008285|negative regulation of cell proliferation|biological_process#GO:0009897|external side of plasma membrane|cellular_component#GO:0070062|extracellular vesicular exosome|cellular_component"," protein binding","GO:0004872: receptor activity#GO:0005515: protein binding","GO:0004872: receptor activity,GO:0005515: protein binding","Cell surface","19","0","65739|246970|384041|384042","","","","2017-02-20"
"66055","Homo sapiens","9606","ENSG00000105492","946","SIGLEC6","sialic acid binding Ig-like lectin 6 ","CD327|CD33L|CD33L1|CD33L2|CDW327|OBBP1","SIGLEC6|IDBG-66055|ENSG00000105492|946","51519525","51531856","-1","19","q13.41","GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005887|integral component of plasma membrane|cellular_component#GO:0007155|cell adhesion|biological_process#GO:0007267|cell-cell signaling|biological_process#GO:0016020|membrane|cellular_component#GO:0045087|innate immune response|biological_process"," protein binding","GO:0005515: protein binding","GO:0005515: protein binding","Extracellular","2","0","66057|66059|66061|246968|384156|384158","","","SIGLEC6|IDBG-641378|ENSBTAG00000047675|","2017-02-20"
"66180","Homo sapiens","9606","ENSG00000105501","8778","SIGLEC5","sialic acid binding Ig-like lectin 5 ","","SIGLEC5|IDBG-66180|ENSG00000105501|8778","51611503","51645545","-1","19","q13.41","GO:0005515|protein binding|molecular_function#GO:0007155|cell adhesion|biological_process#GO:0016021|integral component of membrane|cellular_component#GO:0045087|innate immune response|biological_process"," protein binding","GO:0005515: protein binding","GO:0005515: protein binding","Plasma membrane","7","0","764891|762345","","","","2017-02-20"
"66215","Homo sapiens","9606","ENSG00000049768","50943","FOXP3","forkhead box P3 ","","FOXP3|IDBG-66215|ENSG00000049768|50943","49250436","49264826","-1","X","p11.23","GO:0000122|negative regulation of transcription from RNA polymerase II promoter|biological_process#GO:0001782|B cell homeostasis|biological_process#GO:0001816|cytokine production|biological_process#GO:0002262|myeloid cell homeostasis|biological_process#GO:0002361|CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation|biological_process#GO:0002456|T cell mediated immunity|biological_process#GO:0002507|tolerance induction|biological_process#GO:0002513|tolerance induction to self antigen|biological_process#GO:0002637|regulation of immunoglobulin production|biological_process#GO:0002666|positive regulation of T cell tolerance induction|biological_process#GO:0002669|positive regulation of T cell anergy|biological_process#GO:0002677|negative regulation of chronic inflammatory response|biological_process#GO:0002725|negative regulation of T cell cytokine production|biological_process#GO:0002851|positive regulation of peripheral T cell tolerance induction|biological_process#GO:0003700|sequence-specific DNA binding transcription factor activity|molecular_function#GO:0003705|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|molecular_function#GO:0003714|transcription corepressor activity|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005622|intracellular|cellular_component#GO:0005634|nucleus|cellular_component#GO:0005737|cytoplasm|cellular_component#GO:0006338|chromatin remodeling|biological_process#GO:0006355|regulation of transcription, DNA-templated|biological_process#GO:0006357|regulation of transcription from RNA polymerase II promoter|biological_process#GO:0006366|transcription from RNA polymerase II promoter|biological_process#GO:0008285|negative regulation of cell proliferation|biological_process#GO:0009615|response to virus|biological_process#GO:0010628|positive regulation of gene expression|biological_process#GO:0031064|negative regulation of histone deacetylation|biological_process#GO:0032088|negative regulation of NF-kappaB transcription factor activity|biological_process#GO:0032689|negative regulation of interferon-gamma production|biological_process#GO:0032693|negative regulation of interleukin-10 production|biological_process#GO:0032703|negative regulation of interleukin-2 production|biological_process#GO:0032713|negative regulation of interleukin-4 production|biological_process#GO:0032714|negative regulation of interleukin-5 production|biological_process#GO:0032715|negative regulation of interleukin-6 production|biological_process#GO:0032720|negative regulation of tumor necrosis factor production|biological_process#GO:0032753|positive regulation of interleukin-4 production|biological_process#GO:0032792|negative regulation of CREB transcription factor activity|biological_process#GO:0032831|positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation|biological_process#GO:0032914|positive regulation of transforming growth factor beta1 production|biological_process#GO:0033092|positive regulation of immature T cell proliferation in thymus|biological_process#GO:0035035|histone acetyltransferase binding|molecular_function#GO:0035066|positive regulation of histone acetylation|biological_process#GO:0035067|negative regulation of histone acetylation|biological_process#GO:0042036|negative regulation of cytokine biosynthetic process|biological_process#GO:0042110|T cell activation|biological_process#GO:0042130|negative regulation of T cell proliferation|biological_process#GO:0042803|protein homodimerization activity|molecular_function#GO:0042826|histone deacetylase binding|molecular_function#GO:0043029|T cell homeostasis|biological_process#GO:0043234|protein complex|cellular_component#GO:0043433|negative regulation of sequence-specific DNA binding transcription factor activity|biological_process#GO:0043565|sequence-specific DNA binding|molecular_function#GO:0045066|regulatory T cell differentiation|biological_process#GO:0045077|negative regulation of interferon-gamma biosynthetic process|biological_process#GO:0045085|negative regulation of interleukin-2 biosynthetic process|biological_process#GO:0045591|positive regulation of regulatory T cell differentiation|biological_process#GO:0045892|negative regulation of transcription, DNA-templated|biological_process#GO:0045893|positive regulation of transcription, DNA-templated|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0046007|negative regulation of activated T cell proliferation|biological_process#GO:0046872|metal ion binding|molecular_function#GO:0048294|negative regulation of isotype switching to IgE isotypes|biological_process#GO:0048302|regulation of isotype switching to IgG isotypes|biological_process#GO:0050672|negative regulation of lymphocyte proliferation|biological_process#GO:0050710|negative regulation of cytokine secretion|biological_process#GO:0050728|negative regulation of inflammatory response|biological_process#GO:0050777|negative regulation of immune response|biological_process#GO:0050852|T cell receptor signaling pathway|biological_process#GO:0051059|NF-kappaB binding|molecular_function#GO:0051525|NFAT protein binding|molecular_function"," NFAT protein binding","GO:0003700: sequence-specific DNA binding transcription factor activity#GO:0003705: RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity#GO:0003714: transcription corepressor activity#GO:0005515: protein binding#GO:0035035: histone acetyltransferase binding#GO:0042803: protein homodimerization activity#GO:0042826: histone deacetylase binding#GO:0043565: sequence-specific DNA binding#GO:0046872: metal ion binding#GO:0051059: NF-kappaB binding#GO:0051525: NFAT protein binding","GO:0003700: sequence-specific DNA binding transcription factor activity,GO:0003705: RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity,GO:0003714: transcription corepressor activity,GO:0005515: protein binding,GO:0035035: histone acetyltransferase binding,GO:0042803: protein homodimerization activity,GO:0042826: histone deacetylase binding,GO:0043565: sequence-specific DNA binding,GO:0046872: metal ion binding,GO:0051059: NF-kappaB binding,GO:0051525: NFAT protein binding","Nucleus","33","367","66217|66219|66221|371740|483221|598688","","Foxp3|IDBG-128986|ENSMUSG00000039521|20371","FOXP3|IDBG-637186|ENSBTAG00000013279|506053","2017-02-20"
"66482","Homo sapiens","9606","ENSG00000115008","3552","IL1A","interleukin 1, alpha ","IL-1A|IL1|IL1-ALPHA|IL1F1","IL1A|IDBG-66482|ENSG00000115008|3552","112773915","112784590","-1","2","q14.1","GO:0001660|fever generation|biological_process#GO:0005125|cytokine activity|molecular_function#GO:0005149|interleukin-1 receptor binding|molecular_function#GO:0005507|copper ion binding|molecular_function#GO:0005515|protein binding|molecular_function#GO:0005576|extracellular region|cellular_component#GO:0005615|extracellular space|cellular_component#GO:0005829|cytosol|cellular_component#GO:0006915|apoptotic process|biological_process#GO:0006954|inflammatory response|biological_process#GO:0006955|immune response|biological_process#GO:0008283|cell proliferation|biological_process#GO:0008285|negative regulation of cell proliferation|biological_process#GO:0010575|positive regulation vascular endothelial growth factor production|biological_process#GO:0019221|cytokine-mediated signaling pathway|biological_process#GO:0034605|cellular response to heat|biological_process#GO:0035234|ectopic germ cell programmed cell death|biological_process#GO:0045086|positive regulation of interleukin-2 biosynthetic process|biological_process#GO:0045087|innate immune response|biological_process#GO:0045766|positive regulation of angiogenesis|biological_process#GO:0045840|positive regulation of mitosis|biological_process#GO:0045944|positive regulation of transcription from RNA polymerase II promoter|biological_process#GO:0046688|response to copper ion|biological_process#GO:0050715|positive regulation of cytokine secretion|biological_process#GO:0051781|positive regulation of cell division|biological_process#GO:0097192|extrinsic apoptotic signaling pathway in absence of ligand|biological_process#GO:2001240|negative regulation of extrinsic apoptotic signaling pathway in absence of ligand|biological_process"," protein binding","GO:0005125: cytokine activity#GO:0005149: interleukin-1 receptor binding#GO:0005507: copper ion binding#GO:0005515: protein binding","GO:0005125: cytokine activity,GO:0005149: interleukin-1 receptor binding,GO:0005507: copper ion binding,GO:0005515: protein binding","Extracellular","11","4","66484","","Il1a|IDBG-205910|ENSMUSG00000027399|16175","IL1A|IDBG-634609|ENSBTAG00000010349|281250","2017-02-20"
