Gene	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence
TRAF3IP3	ENSG00000009790	TRAF3 interacting protein 3	1	209756032-209782320	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
MLLT6	ENSG00000275023	MLLT6, PHD finger domain containing	17	38705542-38729803	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level
PIGBOS1	ENSG00000225973	PIGB opposite strand 1	15	55317184-55319161	Predicted intracellular proteins	Evidence at transcript level
NEK10	ENSG00000163491	NIMA related kinase 10	3	27110085-27369460	Enzymes, Predicted intracellular proteins	Evidence at protein level
FCMR	ENSG00000162894	Fc fragment of IgM receptor	1	206904386-206923247	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
IKZF1	ENSG00000185811	IKAROS family zinc finger 1	7	50304124-50405101	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Evidence at protein level
HLA-DOB	ENSG00000241106	Major histocompatibility complex, class II, DO beta	6	32812763-32817048	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
MAFF	ENSG00000185022	MAF bZIP transcription factor F	22	38200767-38216511	Predicted intracellular proteins, Transcription factors	Evidence at protein level
PLA2G2D	ENSG00000117215	Phospholipase A2 group IID	1	20111939-20119566	Enzymes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level
CD2	ENSG00000116824	CD2 molecule	1	116754385-116769228	CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
AK2	ENSG00000004455	Adenylate kinase 2	1	33007940-33080996	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level
IL33	ENSG00000137033	Interleukin 33	9	6215786-6257983	Predicted intracellular proteins	Evidence at protein level
KRT17	ENSG00000128422	Keratin 17	17	41619437-41624842	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
CCDC74B	ENSG00000152076	Coiled-coil domain containing 74B	2	130139287-130145134	Predicted intracellular proteins	Evidence at transcript level
KRT15	ENSG00000171346	Keratin 15	17	41513743-41522529	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
MVP	ENSG00000013364	Major vault protein	16	29820394-29848039	Cancer-related genes, Predicted intracellular proteins, Transporters	Evidence at protein level
SAA2-SAA4	ENSG00000255071	SAA2-SAA4 readthrough	11	18231423-18248635	Predicted membrane proteins	Evidence at transcript level
ZNF552	ENSG00000178935	Zinc finger protein 552	19	57803841-57814913	Predicted intracellular proteins, Transcription factors	Evidence at protein level
C2orf40	ENSG00000119147	Chromosome 2 open reading frame 40	2	106063246-106078159	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level
EVA1B	ENSG00000142694	Eva-1 homolog B	1	36322031-36324154	Predicted intracellular proteins	Evidence at protein level
PAQR8	ENSG00000170915	Progestin and adipoQ receptor family member 8	6	52361421-52407777	Predicted membrane proteins	Evidence at protein level
TUBA3D	ENSG00000075886	Tubulin alpha 3d	2	131476093-131482934	Predicted intracellular proteins	Evidence at protein level
APOBEC3G	ENSG00000239713	Apolipoprotein B mRNA editing enzyme catalytic subunit 3G	22	39077005-39087743	Predicted intracellular proteins	Evidence at protein level
SOCS3	ENSG00000184557	Suppressor of cytokine signaling 3	17	78356778-78360077	Disease related genes, Predicted intracellular proteins	Evidence at protein level
GTF2B	ENSG00000137947	General transcription factor IIB	1	88852932-88891944	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
GLUL	ENSG00000135821	Glutamate-ammonia ligase	1	182381704-182392206	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level
GSTZ1	ENSG00000100577	Glutathione S-transferase zeta 1	14	77320884-77331597	Enzymes, Predicted intracellular proteins	Evidence at protein level
SH2D2A	ENSG00000027869	SH2 domain containing 2A	1	156806243-156816862	Predicted intracellular proteins	Evidence at protein level
TINF2	ENSG00000092330	TERF1 interacting nuclear factor 2	14	24239643-24242674	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
DPP9	ENSG00000142002	Dipeptidyl peptidase 9	19	4675224-4724673	Enzymes, Predicted intracellular proteins	Evidence at protein level
ATF7IP2	ENSG00000166669	Activating transcription factor 7 interacting protein 2	16	10326434-10483638	Predicted intracellular proteins	Evidence at protein level
TFF1	ENSG00000160182	Trefoil factor 1	21	42362282-42366594	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level
KLHL26	ENSG00000167487	Kelch like family member 26	19	18636965-18671714	Predicted intracellular proteins	Evidence at protein level
C14orf93	ENSG00000100802	Chromosome 14 open reading frame 93	14	22985908-23010166	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
GSTT2B	ENSG00000133433	Glutathione S-transferase theta 2B (gene/pseudogene)	22	23957414-23961186	Enzymes, Predicted intracellular proteins	Evidence at protein level
SKAP1	ENSG00000141293	Src kinase associated phosphoprotein 1	17	48133440-48430275	Predicted intracellular proteins	Evidence at protein level
CLSTN3	ENSG00000139182	Calsyntenin 3	12	7129698-7158945	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
PSMB8	ENSG00000204264	Proteasome subunit beta 8	6	32840717-32844703	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
IL24	ENSG00000162892	Interleukin 24	1	206897443-206904139	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
CCDC74A	ENSG00000163040	Coiled-coil domain containing 74A	2	131527675-131533666	Predicted intracellular proteins	Evidence at transcript level
IFNLR1	ENSG00000185436	Interferon lambda receptor 1	1	24154157-24187959	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
SUSD3	ENSG00000157303	Sushi domain containing 3	9	93058688-93085138	Predicted membrane proteins	Evidence at protein level
TMEM42	ENSG00000169964	Transmembrane protein 42	3	44861869-44865670	Predicted membrane proteins	Evidence at transcript level
MATK	ENSG00000007264	Megakaryocyte-associated tyrosine kinase	19	3777970-3802129	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level
CUL9	ENSG00000112659	Cullin 9	6	43182175-43224587	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
TMEM229B	ENSG00000198133	Transmembrane protein 229B	14	67447084-67533739	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level
PARD6A	ENSG00000102981	Par-6 family cell polarity regulator alpha	16	67660946-67662778	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
ING2	ENSG00000168556	Inhibitor of growth family member 2	4	183504994-183511096	Predicted intracellular proteins	Evidence at protein level
TPRG1	ENSG00000188001	Tumor protein p63 regulated 1	3	188947214-189325304	Predicted intracellular proteins	Evidence at protein level
RCL1	ENSG00000120158	RNA terminal phosphate cyclase like 1	9	4792869-4885917	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
APOD	ENSG00000189058	Apolipoprotein D	3	195568702-195584205	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level
YBEY	ENSG00000182362	YbeY metallopeptidase (putative)	21	46286337-46297751	Predicted intracellular proteins	Evidence at protein level
HLA-DQB2	ENSG00000232629	Major histocompatibility complex, class II, DQ beta 2	6	32756098-32763534	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
PLGRKT	ENSG00000107020	Plasminogen receptor with a C-terminal lysine	9	5357973-5437878	Predicted intracellular proteins	Evidence at protein level
FHL3	ENSG00000183386	Four and a half LIM domains 3	1	37996770-38005606	Predicted intracellular proteins	Evidence at protein level
GPR27	ENSG00000170837	G protein-coupled receptor 27	3	71754050-71756496	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level
CLTA	ENSG00000122705	Clathrin light chain A	9	36190856-36304781	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
TNIP1	ENSG00000145901	TNFAIP3 interacting protein 1	5	151029945-151093577	Predicted intracellular proteins	Evidence at protein level
CDK14	ENSG00000058091	Cyclin dependent kinase 14	7	90466424-91210590	Enzymes, Predicted intracellular proteins	Evidence at protein level
STAT5A	ENSG00000126561	Signal transducer and activator of transcription 5A	17	42287547-42311943	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level
ZNF688	ENSG00000229809	Zinc finger protein 688	16	30569346-30572734	Predicted intracellular proteins	Evidence at transcript level
CASP9	ENSG00000132906	Caspase 9	1	15490832-15526534	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level
S1PR3	ENSG00000213694	Sphingosine-1-phosphate receptor 3	9	88991447-89005010	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level
ARHGEF1	ENSG00000076928	Rho guanine nucleotide exchange factor 1	19	41883161-41930150	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
MITD1	ENSG00000158411	Microtubule interacting and trafficking domain containing 1	2	99161427-99181058	Predicted intracellular proteins	Evidence at protein level
NR4A3	ENSG00000119508	Nuclear receptor subfamily 4 group A member 3	9	99821855-99866891	Cancer-related genes, Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level
WNT11	ENSG00000085741	Wnt family member 11	11	76186325-76210736	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
NFKBID	ENSG00000167604	NFKB inhibitor delta	19	35887653-35902303	Predicted intracellular proteins, Transcription factors	Evidence at protein level
LRRC23	ENSG00000010626	Leucine rich repeat containing 23	12	6873569-6914243	Predicted intracellular proteins	Evidence at protein level
PNRC2	ENSG00000189266	Proline rich nuclear receptor coactivator 2	1	23959109-23963462	Predicted intracellular proteins	Evidence at protein level
DAXX	ENSG00000204209	Death domain associated protein	6	33318558-33329286	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level
IGLL5	ENSG00000254709	Immunoglobulin lambda like polypeptide 5	22	22887780-22896107	Predicted intracellular proteins	Evidence at protein level
CBX7	ENSG00000100307	Chromobox 7	22	39120167-39152674	Predicted intracellular proteins	Evidence at protein level
TXLNA	ENSG00000084652	Taxilin alpha	1	32179686-32198285	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level
CLDN11	ENSG00000013297	Claudin 11	3	170418865-170860380	Predicted membrane proteins	Evidence at protein level
GDPGP1	ENSG00000183208	GDP-D-glucose phosphorylase 1	15	90233808-90245811	Enzymes, Predicted intracellular proteins	Evidence at protein level
SVBP	ENSG00000177868	Small vasohibin binding protein	1	42807052-42817252	Predicted intracellular proteins	Evidence at protein level
CD3G	ENSG00000160654	CD3g molecule	11	118344344-118355161	CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
CXCL9	ENSG00000138755	C-X-C motif chemokine ligand 9	4	76001275-76007488	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level
DHRS7	ENSG00000100612	Dehydrogenase/reductase 7	14	60144120-60169856	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
BEX1	ENSG00000133169	Brain expressed X-linked 1	X	103062651-103064240	Predicted intracellular proteins	Evidence at protein level
IRF4	ENSG00000137265	Interferon regulatory factor 4	6	391739-411447	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level
BMP6	ENSG00000153162	Bone morphogenetic protein 6	6	7726797-7881422	Predicted secreted proteins	Evidence at protein level
ADGRB2	ENSG00000121753	Adhesion G protein-coupled receptor B2	1	31727117-31764893	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level
C19orf47	ENSG00000160392	Chromosome 19 open reading frame 47	19	40319536-40348527	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
NXNL2	ENSG00000130045	Nucleoredoxin-like 2	9	88535101-88584274	Predicted intracellular proteins	Evidence at transcript level
TLN2	ENSG00000171914	Talin 2	15	62390526-62844631	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
TRIM47	ENSG00000132481	Tripartite motif containing 47	17	75874161-75878575	Predicted intracellular proteins	Evidence at protein level
CST7	ENSG00000077984	Cystatin F	20	24949230-24959928	Plasma proteins, Predicted secreted proteins	Evidence at protein level
BST2	ENSG00000130303	Bone marrow stromal cell antigen 2	19	17402939-17405648	CD markers, Plasma proteins, Predicted membrane proteins	Evidence at protein level
SLC39A8	ENSG00000138821	Solute carrier family 39 member 8	4	102251041-102431258	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level
UBE2L6	ENSG00000156587	Ubiquitin conjugating enzyme E2 L6	11	57551656-57568284	Enzymes, Predicted intracellular proteins	Evidence at protein level
APOL3	ENSG00000128284	Apolipoprotein L3	22	36140330-36166177	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
CR2	ENSG00000117322	Complement C3d receptor 2	1	207454230-207489895	CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
STARD10	ENSG00000214530	StAR related lipid transfer domain containing 10	11	72754729-72794168	Predicted intracellular proteins	Evidence at protein level
RP11-211G3.2	ENSG00000223401		3	187743686-187746028	Predicted intracellular proteins	Evidence at transcript level
PI3	ENSG00000124102	Peptidase inhibitor 3	20	45174876-45176544	Plasma proteins, Predicted secreted proteins	Evidence at protein level
GSTO1	ENSG00000148834	Glutathione S-transferase omega 1	10	104235356-104267459	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
ICAM1	ENSG00000090339	Intercellular adhesion molecule 1	19	10270835-10286615	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
ZNF516	ENSG00000101493	Zinc finger protein 516	18	76358190-76495190	Predicted intracellular proteins, Transcription factors	Evidence at protein level
ZNF655	ENSG00000197343	Zinc finger protein 655	7	99558406-99576453	Predicted intracellular proteins, Transcription factors	Evidence at protein level
SBSPON	ENSG00000164764	Somatomedin B and thrombospondin type 1 domain containing	8	73064540-73124088	Predicted secreted proteins	Evidence at protein level
ITGA10	ENSG00000143127	Integrin subunit alpha 10	1	145891208-145910189	Plasma proteins, Predicted membrane proteins	Evidence at transcript level
IFRD2	ENSG00000214706	Interferon related developmental regulator 2	3	50287732-50292918	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
GZMB	ENSG00000100453	Granzyme B	14	24630954-24634267	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
GZMA	ENSG00000145649	Granzyme A	5	55102648-55110252	Enzymes, Predicted secreted proteins	Evidence at protein level
DDB2	ENSG00000134574	Damage specific DNA binding protein 2	11	47214465-47239240	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level
RGL3	ENSG00000205517	Ral guanine nucleotide dissociation stimulator like 3	19	11384341-11419342	Predicted intracellular proteins	Evidence at protein level
KDM4B	ENSG00000127663	Lysine demethylase 4B	19	4969113-5153595	Plasma proteins, Predicted intracellular proteins	Evidence at protein level
NAB2	ENSG00000166886	NGFI-A binding protein 2	12	57088894-57095476	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
FAM3D	ENSG00000198643	Family with sequence similarity 3 member D	3	58633946-58666848	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
GBP2	ENSG00000162645	Guanylate binding protein 2	1	89106132-89150456	Predicted intracellular proteins	Evidence at protein level
PLAT	ENSG00000104368	Plasminogen activator, tissue type	8	42175233-42207724	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level
CCDC115	ENSG00000136710	Coiled-coil domain containing 115	2	130338241-130342349	Disease related genes, Predicted intracellular proteins	Evidence at protein level
RBMXL1	ENSG00000213516	RNA binding motif protein, X-linked like 1	1	88979456-88992960	Predicted intracellular proteins	Evidence at protein level
PLIN5	ENSG00000214456	Perilipin 5	19	4522531-4535224	Predicted intracellular proteins	Evidence at protein level
CHAD	ENSG00000136457	Chondroadherin	17	50464496-50468966	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
CXCL1	ENSG00000163739	C-X-C motif chemokine ligand 1	4	73869393-73871242	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level
ZNF548	ENSG00000188785	Zinc finger protein 548	19	57389850-57402992	Predicted intracellular proteins, Transcription factors	Evidence at protein level
C1RL	ENSG00000139178	Complement C1r subcomponent like	12	7089587-7109273	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
PCP2	ENSG00000174788	Purkinje cell protein 2	19	7631611-7633748	Predicted intracellular proteins	Evidence at protein level
WIPF3	ENSG00000122574	WAS/WASL interacting protein family member 3	7	29806486-29917066	Predicted intracellular proteins	Evidence at protein level
ZRSR2	ENSG00000169249	Zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2	X	15790472-15823260	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level
RILP	ENSG00000167705	Rab interacting lysosomal protein	17	1646145-1650077	Predicted intracellular proteins	Evidence at protein level
TIMM9	ENSG00000100575	Translocase of inner mitochondrial membrane 9	14	58408494-58427614	Predicted intracellular proteins	Evidence at protein level
ERF	ENSG00000105722	ETS2 repressor factor	19	42247572-42255157	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level
RHBDL1	ENSG00000103269	Rhomboid like 1	16	675666-678268	Enzymes, Predicted membrane proteins	Evidence at protein level
CYBA	ENSG00000051523	Cytochrome b-245 alpha chain	16	88643283-88651152	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level
KLK10	ENSG00000129451	Kallikrein related peptidase 10	19	51012739-51020175	Cancer-related genes, Enzymes, Predicted secreted proteins	Evidence at protein level
SLC19A2	ENSG00000117479	Solute carrier family 19 member 2	1	169463909-169486003	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level
THOC1	ENSG00000079134	THO complex 1	18	214520-268050	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
LAMB3	ENSG00000196878	Laminin subunit beta 3	1	209614870-209652466	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
RAPGEFL1	ENSG00000108352	Rap guanine nucleotide exchange factor like 1	17	40177010-40195656	Predicted intracellular proteins	Evidence at protein level
MYD88	ENSG00000172936	Myeloid differentiation primary response 88	3	38138478-38143022	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
BTG2	ENSG00000159388	BTG anti-proliferation factor 2	1	203305491-203309602	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level
FCHSD1	ENSG00000197948	FCH and double SH3 domains 1	5	141639302-141651419	Predicted intracellular proteins	Evidence at protein level
XKR8	ENSG00000158156	XK related 8	1	27959462-27968096	Predicted membrane proteins, Transporters	Evidence at protein level
GZMK	ENSG00000113088	Granzyme K	5	55024253-55034570	Enzymes, Predicted secreted proteins	Evidence at protein level
METTL12	ENSG00000214756	Methyltransferase like 12	11	62665309-62668496	Predicted intracellular proteins	Evidence at transcript level
SPDYE3	ENSG00000214300	Speedy/RINGO cell cycle regulator family member E3	7	100307702-100322196	Predicted intracellular proteins	Evidence at protein level
OLFM4	ENSG00000102837	Olfactomedin 4	13	53028759-53052057	Predicted secreted proteins	Evidence at protein level
HHEX	ENSG00000152804	Hematopoietically expressed homeobox	10	92689951-92695646	Predicted intracellular proteins, Transcription factors	Evidence at protein level
CD274	ENSG00000120217	CD274 molecule	9	5450503-5470566	Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level
SERPINA3	ENSG00000196136	Serpin family A member 3	14	94612377-94624055	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level
RAB39B	ENSG00000155961	RAB39B, member RAS oncogene family	X	155258241-155264589	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
FAM69A	ENSG00000154511	Family with sequence similarity 69 member A	1	92832737-92961522	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
PLA2G4A	ENSG00000116711	Phospholipase A2 group IVA	1	186828953-186988981	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level
CD247	ENSG00000198821	CD247 molecule	1	167430640-167518610	CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level
PNKP	ENSG00000039650	Polynucleotide kinase 3'-phosphatase	19	49859882-49878351	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level
HYI	ENSG00000178922	Hydroxypyruvate isomerase (putative)	1	43451003-43453989	Enzymes, Predicted intracellular proteins	Evidence at protein level
DIRAS3	ENSG00000162595	DIRAS family GTPase 3	1	68045962-68051631	Predicted intracellular proteins	Evidence at protein level
RPS9	ENSG00000170889	Ribosomal protein S9	19	54200742-54249003	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level
SNRK	ENSG00000163788	SNF related kinase	3	43286512-43424764	Enzymes, Predicted intracellular proteins	Evidence at protein level
MYO15B	ENSG00000266714	Myosin XVB	17	75588058-75626501	Predicted intracellular proteins	Evidence at transcript level
ANKRD35	ENSG00000198483	Ankyrin repeat domain 35	1	145866560-145885866	Predicted intracellular proteins	Evidence at protein level
FOXJ1	ENSG00000129654	Forkhead box J1	17	76136333-76141299	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level
SLAMF6	ENSG00000162739	SLAM family member 6	1	160485030-160523262	CD markers, Predicted membrane proteins	Evidence at protein level
KRT6B	ENSG00000185479	Keratin 6B	12	52446651-52452126	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
ZNF326	ENSG00000162664	Zinc finger protein 326	1	89995112-90035531	Predicted intracellular proteins	Evidence at protein level
SLC8B1	ENSG00000089060	Solute carrier family 8 member B1	12	113298759-113359493	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level
LCN2	ENSG00000148346	Lipocalin 2	9	128149071-128153455	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level
JAK1	ENSG00000162434	Janus kinase 1	1	64833229-64966504	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
ETFRF1	ENSG00000205707	Electron transfer flavoprotein regulatory factor 1	12	25195216-25209645	Predicted intracellular proteins	Evidence at protein level
BCL3	ENSG00000069399	B-cell CLL/lymphoma 3	19	44747705-44760044	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level
RPS27	ENSG00000177954	Ribosomal protein S27	1	153990759-153992150	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level
BRICD5	ENSG00000182685	BRICHOS domain containing 5	16	2209253-2211950	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level
IL3RA	ENSG00000185291	Interleukin 3 receptor subunit alpha	X	1336616-1382689	CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level
LTA4H	ENSG00000111144	Leukotriene A4 hydrolase	12	96000828-96043520	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level
ZNF512	ENSG00000243943	Zinc finger protein 512	2	27582969-27623215	Predicted intracellular proteins, Transcription factors	Evidence at protein level
RPS18	ENSG00000231500	Ribosomal protein S18	6	33272010-33276510	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level
AP1S2	ENSG00000182287	Adaptor related protein complex 1 sigma 2 subunit	X	15825806-15855014	Disease related genes, Predicted intracellular proteins	Evidence at protein level
PCSK6	ENSG00000140479	Proprotein convertase subtilisin/kexin type 6	15	101297142-101525202	Enzymes, Predicted intracellular proteins	Evidence at protein level
HSD17B8	ENSG00000204228	Hydroxysteroid 17-beta dehydrogenase 8	6	33204642-33206831	Enzymes, Predicted intracellular proteins	Evidence at protein level
