	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7
cg07489048	chr14	29236748	29237049	0.00129085	-6.78E-06	0.000137255	0.086250863	FOXG1	chr14	29236898	29236899	cg07489048	FOXG1	Island	I
cg16666329	chr5	76932376	76932677	0.001453677	2.02E-05	0.000183325	0.086049403	OTP	chr5	76932526	76932527	cg16666329	OTP	Island	II
cg15705054	chr1	154927559	154927860	0.000320856	-4.76E-05	-1.12E-05	0.084114677	PBXIP1	chr1	154927709	154927710	cg15705054	PBXIP1	CpG_Ocean	I
cg07035961	chr5	140174691	140174992	0.001381326	-6.97E-06	0.000141711	0.08308166	PCDHA1	chr5	140174841	140174842	cg07035961	PCDHA1	Island	I
cg02222728	chr8	55371679	55371980	0.000971429	1.81E-07	0.00010982	0.082364835	SOX17	chr8	55371829	55371830	cg02222728	SOX17	Island	II
cg26485937	chr5	140802282	140802583	0.001176471	-2.70E-05	9.77E-05	0.081545455	PCDHGA4	chr5	140802432	140802433	cg26485937	PCDHGA4	Island	I
cg23208513	chr8	101118227	101118528	0.000666667	0	8.59E-05	0.081370657	RGS22	chr8	101118377	101118378	cg23208513	RGS22	Island	I
cg24159514	chr19	11785098	11785399	0.000777778	0	8.62E-05	0.081176332	ZNF833	chr19	11785248	11785249	cg24159514	ZNF833	Island	I
cg08491188	chr5	140777353	140777654	0.000383275	4.36E-07	4.22E-05	0.080856222	PCDHGA4	chr5	140777503	140777504	cg08491188	PCDHGA4	Island	II
cg17292758	chr19	49636444	49636745	0.003668039	4.87E-07	0.000438568	0.080395805	PPFIA3	chr19	49636594	49636595	cg17292758	PPFIA3	Island	II
cg00123055	chr8	55370801	55371102	0.001176471	0	0.000122699	0.079374944	SOX17	chr8	55370951	55370952	cg00123055	SOX17	Island	I
cg09510559	chr19	36334994	36335295	0.002968425	3.42E-05	0.000358597	0.079208964	NPHS1	chr19	36335144	36335145	cg09510559	NPHS1	Island	I
cg04365481	chr1	17085911	17086212	0.0004375	6.88E-06	4.79E-05	0.079182403	MST1P9	chr1	17086061	17086062	cg04365481	MST1P9	Island	I
cg16691593	chr5	76934484	76934785	0.001	-6.78E-06	0.000102719	0.078871	OTP	chr5	76934634	76934635	cg16691593	OTP	Island	II
cg23365801	chr17	7832759	7833060	0.001151096	-2.07E-05	0.000115629	0.078343435	KCNAB3	chr17	7832909	7832910	cg23365801	KCNAB3	Island	I
cg21185686	chr5	140810283	140810584	0.00124359	-3.49E-05	0.000110032	0.077810606	PCDHGA4	chr5	140810433	140810434	cg21185686	PCDHGA4	N_Shore	II
cg13466456	chr1	29586938	29587239	0.001227957	3.94E-07	0.000113274	0.077527407	PTPRU	chr1	29587088	29587089	cg13466456	PTPRU	Island	II
cg17657179	chr19	52227159	52227460	0.002938739	-2.75E-05	0.000314602	0.077326396	HAS1	chr19	52227309	52227310	cg17657179	HAS1	CpG_Ocean	I
cg00346208	chr1	20669755	20670056	0.002458276	4.18E-05	0.000303389	0.077299707	VWA5B1	chr1	20669905	20669906	cg00346208	VWA5B1	Island	I
cg13784235	chr6	108495715	108496016	0.000393822	-7.09E-06	3.74E-05	0.077034616	NR2E1	chr6	108495865	108495866	cg13784235	NR2E1	Island	II
cg09423283	chr6	146755151	146755452	0.00417058	3.56E-05	0.000471251	0.074176498	GRM1	chr6	146755301	146755302	cg09423283	GRM1	N_Shore	I
cg19516515	chr1	155290464	155290765	0.002594595	7.15E-06	0.000313085	0.074141931	RUSC1	chr1	155290614	155290615	cg19516515	RUSC1	Island	II
cg26517171	chr5	170735197	170735498	0.00152278	7.04E-06	0.000180862	0.073875397	TLX3	chr5	170735347	170735348	cg26517171	TLX3	Island	I
cg18335796	chr8	91094322	91094623	0.000900202	6.62E-06	0.000110432	0.073715644	CALB1	chr8	91094472	91094473	cg18335796	CALB1	CpG_Ocean	II
cg18568589	chr19	9609245	9609546	0.001490476	-1.36E-05	0.000116685	0.073487343	ZNF560	chr19	9609395	9609396	cg18568589	ZNF560	S_Shore	II
cg13906811	chr2	50574943	50575244	0.002659536	-2.74E-05	0.000217629	0.073177601	NRXN1	chr2	50575093	50575094	cg13906811	NRXN1	S_Shore	I
cg08047907	chr1	169396708	169397009	0.001142857	-8.14E-06	0.00013944	0.072831295	C1orf114	chr1	169396858	169396859	cg08047907	C1orf114	Island	II
cg11760198	chr18	34854786	34855087	-4.88E-05	1.39E-05	6.08E-06	0.072609497	BRUNOL4	chr18	34854936	34854937	cg11760198	BRUNOL4	Island	II
cg07766263	chr3	170302895	170303196	0.001408497	-6.67E-06	0.000137816	0.071689244	SLC7A14	chr3	170303045	170303046	cg07766263	SLC7A14	Island	II
cg12610471	chr10	22634049	22634350	0.002607506	2.02E-05	0.000330718	0.071302625	SPAG6	chr10	22634199	22634200	cg12610471	SPAG6	Island	I
cg19403534	chr10	120355269	120355570	0.000287393	-3.45E-05	-1.38E-07	0.071248075	PRLHR	chr10	120355419	120355420	cg19403534	PRLHR	Island	II
cg20156659	chr2	48982682	48982983	0.001181818	7.58E-06	0.000163756	0.070953684	LHCGR	chr2	48982832	48982833	cg20156659	LHCGR	Island	I
cg25818402	chr7	64363465	64363766	0.000197619	5.47E-05	7.20E-05	0.070311123	ZNF273	chr7	64363615	64363616	cg25818402	ZNF273	CpG_Ocean	I
cg23671221	chr1	44031150	44031451	0.006307854	-6.10E-05	0.000613188	0.070082192	PTPRF	chr1	44031300	44031301	cg23671221	PTPRF	Island	I
cg08171351	chr22	17600694	17600995	0.004777554	-6.16E-05	0.000450994	0.070058258	CECR6	chr22	17600844	17600845	cg08171351	CECR6	Island	I
cg23034757	chr5	140787714	140788015	0.001302326	-2.73E-05	0.000142857	0.069999888	PCDHGA4	chr5	140787864	140787865	cg23034757	PCDHGA4	Island	II
cg04058752	chr11	76751219	76751520	0.000514286	0.000181684	0.000213236	0.069990669	B3GNT6	chr11	76751369	76751370	cg04058752	B3GNT6	Island	I
cg09015433	chr8	57359820	57360121	0.002222222	-6.12E-05	0.000129832	0.068889179	PENK	chr8	57359970	57359971	cg09015433	PENK	Island	I
cg05355225	chr8	86350418	86350719	0.00126489	7.45E-06	0.000118335	0.068387968	CA3	chr8	86350568	86350569	cg05355225	CA3	N_Shore	I
cg09639931	chr17	38024244	38024545	0.002195195	-2.80E-05	0.000225054	0.067773694	ZPBP2	chr17	38024394	38024395	cg09639931	ZPBP2	Island	I
cg08363794	chr2	176986310	176986611	3.49E-06	-2.84E-05	-2.47E-05	0.067633915	HOXD9	chr2	176986460	176986461	cg08363794	HOXD9	Island	II
cg18525486	chr3	62357026	62357327	0.001176471	-2.76E-05	9.88E-05	0.067238752	FEZF2	chr3	62357176	62357177	cg18525486	FEZF2	Island	II
cg08109815	chr6	142409681	142409982	0.000544306	-4.16E-05	1.22E-05	0.06693122	NMBR	chr6	142409831	142409832	cg08109815	NMBR	Island	II
cg13019491	chr14	60977706	60978007	0.001365854	-3.47E-05	0.000139818	0.066843119	SIX6	chr14	60977856	60977857	cg13019491	SIX6	Island	I
cg15133719	chr2	223163654	223163955	0.001076276	-1.41E-05	0.000131475	0.066684683	PAX3	chr2	223163804	223163805	cg15133719	PAX3	Island	II
cg26865446	chr3	181438178	181438479	0.004190432	-4.13E-05	0.000464226	0.066345563	SOX2OT	chr3	181438328	181438329	cg26865446	SOX2OT	S_Shore	II
cg27227742	chr20	43935141	43935442	0.000451613	-4.87E-05	5.84E-08	0.065693461	MATN4	chr20	43935291	43935292	cg27227742	MATN4	Island	I
cg11716598	chr10	135139566	135139867	0.001491453	-2.15E-05	0.000163405	0.065065203	CALY	chr10	135139716	135139717	cg11716598	CALY	Island	II
cg11128216	chr11	31825683	31825984	0.001919783	-6.71E-06	0.000183419	0.064843463	PAX6	chr11	31825833	31825834	cg11128216	PAX6	Island	II
cg17777676	chr5	140186745	140187046	0.000706865	2.69E-05	0.000104407	0.064569375	PCDHA2	chr5	140186895	140186896	cg17777676	PCDHA2	Island	I
cg22538780	chr8	77585298	77585599	0.002783095	-1.36E-05	0.000331293	0.063959733	LOC100192378	chr8	77585448	77585449	cg22538780	LOC100192378	CpG_Ocean	II
cg20969194	chr2	223163025	223163326	0.002276587	-6.58E-06	0.000243878	0.063958899	PAX3	chr2	223163175	223163176	cg20969194	PAX3	Island	II
cg07515422	chr19	40993563	40993864	0.003516365	-7.10E-05	0.000297822	0.063885133	SPTBN4	chr19	40993713	40993714	cg07515422	SPTBN4	N_Shelf	I
cg26951440	chr10	101291122	101291423	0.00088558	-6.69E-06	0.000110648	0.063036482	NKX2-3	chr10	101291272	101291273	cg26951440	NKX2-3	N_Shore	I
cg18105139	chr6	28058706	28059007	0.002691535	-3.45E-05	0.000252703	0.062800804	ZSCAN12L1	chr6	28058856	28058857	cg18105139	ZSCAN12L1	CpG_Ocean	I
cg12702981	chr3	119528506	119528807	0.000387097	-2.03E-05	1.84E-05	0.062485614	NR1I2	chr3	119528656	119528657	cg12702981	NR1I2	N_Shore	I
cg00490606	chr8	102217598	102217899	0.000539683	2.10E-05	8.07E-05	0.062177046	ZNF706	chr8	102217748	102217749	cg00490606	ZNF706	Island	II
cg05221167	chr19	9609247	9609548	0.000642857	2.83E-05	7.83E-05	0.062053164	ZNF560	chr19	9609397	9609398	cg05221167	ZNF560	S_Shore	II
cg21488066	chr6	28367748	28368049	0.00123262	-7.11E-06	0.000145457	0.061553787	ZSCAN12	chr6	28367898	28367899	cg21488066	ZSCAN12	S_Shore	II
cg07517893	chr19	45889014	45889315	0.004063123	-7.65E-05	0.000388428	0.061332243	PPP1R13L	chr19	45889164	45889165	cg07517893	PPP1R13L	Island	I
cg08793894	chr17	7227587	7227888	0.002549187	-1.37E-05	0.000270907	0.061283008	NEURL4	chr17	7227737	7227738	cg08793894	NEURL4	S_Shore	I
cg14754787	chr17	35299450	35299751	0.0001875	1.34E-05	3.03E-05	0.061220436	LHX1	chr17	35299600	35299601	cg14754787	LHX1	Island	I
cg07536847	chr1	18957082	18957383	-4.98E-05	-2.34E-08	-6.00E-06	0.061009612	PAX7	chr1	18957232	18957233	cg07536847	PAX7	Island	I
cg23095743	chr10	104000681	104000982	0.002239827	3.47E-05	0.000250392	0.060677689	PITX3	chr10	104000831	104000832	cg23095743	PITX3	Island	I
cg24601716	chr13	28498301	28498602	0.001523684	-2.12E-07	0.000174684	0.058925555	PDX1	chr13	28498451	28498452	cg24601716	PDX1	Island	II
cg26295328	chr15	44581066	44581367	0.00075	-6.69E-06	6.65E-05	0.058891734	CASC4	chr15	44581216	44581217	cg26295328	CASC4	Island	I
cg03012544	chr8	24773118	24773419	0.000307692	-1.43E-05	2.52E-05	0.058800508	NEFM	chr8	24773268	24773269	cg03012544	NEFM	S_Shore	II
cg16209664	chr3	147130996	147131297	0.001754737	-3.47E-05	0.000143505	0.058772265	ZIC1	chr3	147131146	147131147	cg16209664	ZIC1	Island	II
cg17949727	chr1	38412534	38412835	0.001349166	-6.42E-06	0.000151485	0.058014774	INPP5B	chr1	38412684	38412685	cg17949727	INPP5B	CpG_Ocean	I
cg02098752	chr5	176023855	176024156	0.000804025	5.60E-06	0.000100012	0.057968325	GPRIN1	chr5	176024005	176024006	cg02098752	GPRIN1	Island	II
cg09109520	chr16	57673108	57673409	0.000248955	1.55E-05	4.46E-05	0.0577156	GPR56	chr16	57673258	57673259	cg09109520	GPR56	CpG_Ocean	II
cg14457782	chr17	40937212	40937513	0.001780488	0	0.000223115	0.057322743	WNK4	chr17	40937362	40937363	cg14457782	WNK4	Island	I
cg23891273	chr12	102036250	102036551	-4.97E-05	-1.36E-05	-1.84E-05	0.056497666	MYBPC1	chr12	102036400	102036401	cg23891273	MYBPC1	Island	I
cg13677149	chr7	27284639	27284940	0.001320802	2.07E-05	0.000164989	0.055854704	EVX1	chr7	27284789	27284790	cg13677149	EVX1	Island	I
cg22629111	chr1	166135058	166135359	0.002862514	2.95E-07	0.000312798	0.055328006	FAM78B	chr1	166135208	166135209	cg22629111	FAM78B	Island	I
cg22275864	chr8	37822412	37822713	0.000424242	1.94E-05	5.85E-05	0.055224472	ADRB3	chr8	37822562	37822563	cg22275864	ADRB3	Island	I
cg14489474	chr18	905461	905762	0.001441441	-6.71E-06	0.000130676	0.054724677	ADCYAP1	chr18	905611	905612	cg14489474	ADCYAP1	Island	I
cg14610403	chr1	66998662	66998963	0.001375	-2.07E-05	0.000113095	0.054680164	SGIP1	chr1	66998812	66998813	cg14610403	SGIP1	Island	II
cg13641903	chr11	32452458	32452759	0.00013969	-3.29E-05	-1.16E-05	0.054213553	WT1	chr11	32452608	32452609	cg13641903	WT1	Island	I
cg19166302	chr3	122296463	122296764	0.000712281	-1.36E-05	7.24E-05	0.05411161	PARP15	chr3	122296613	122296614	cg19166302	PARP15	Island	II
cg10542584	chr3	62356073	62356374	0.000888889	0	0.000113636	0.053596032	FEZF2	chr3	62356223	62356224	cg10542584	FEZF2	Island	I
cg07928083	chr15	60295162	60295463	0.000392466	-1.35E-05	2.51E-05	0.053381089	FOXB1	chr15	60295312	60295313	cg07928083	FOXB1	N_Shore	I
cg11827910	chr11	31825606	31825907	0.001028571	-1.39E-05	9.91E-05	0.052632781	PAX6	chr11	31825756	31825757	cg11827910	PAX6	Island	I
cg10343742	chr3	137483356	137483657	0.002160473	-1.65E-07	0.00022694	0.052621591	SOX14	chr3	137483506	137483507	cg10343742	SOX14	Island	II
cg05835982	chr3	129693641	129693942	0.0029125	-4.12E-05	0.000265227	0.052094278	TRH	chr3	129693791	129693792	cg05835982	TRH	Island	II
cg14462779	chr10	76803519	76803820	-1.19E-05	1.34E-05	1.22E-05	0.051434303	DUPD1	chr10	76803669	76803670	cg14462779	DUPD1	Island	I
cg05936441	chr20	37356694	37356995	0.004849777	-6.90E-05	0.000501261	0.051184596	SLC32A1	chr20	37356844	37356845	cg05936441	SLC32A1	Island	II
cg20732478	chr2	176993493	176993794	0.002321429	-2.62E-05	0.000217827	0.050642308	HOXD8	chr2	176993643	176993644	cg20732478	HOXD8	Island	I
cg25429719	chr2	208989174	208989475	0.001176471	6.67E-06	0.000125749	0.050573399	CRYGD	chr2	208989324	208989325	cg25429719	CRYGD	S_Shore	II
cg26567423	chr12	54500469	54500770	0.000162162	-6.80E-06	1.17E-05	0.049802667	FLJ12825	chr12	54500619	54500620	cg26567423	FLJ12825	Island	I
cg20014398	chr11	31825642	31825943	0.000646341	-1.37E-05	6.74E-05	0.048770039	PAX6	chr11	31825792	31825793	cg20014398	PAX6	Island	I
cg14425564	chr9	126794622	126794923	0.001403654	1.43E-05	0.000188222	0.048697587	LHX2	chr9	126794772	126794773	cg14425564	LHX2	CpG_Ocean	I
cg08214995	chr16	22826093	22826394	0.000358974	-7.04E-06	3.68E-05	0.048399852	HS3ST2	chr16	22826243	22826244	cg08214995	HS3ST2	Island	II
cg02631126	chr6	28058768	28059069	0.000697674	-7.02E-06	8.54E-05	0.048099027	ZSCAN12L1	chr6	28058918	28058919	cg02631126	ZSCAN12L1	CpG_Ocean	I
cg08229358	chr1	179544615	179544916	0.000807143	3.86E-07	0.000101981	0.047869426	NPHS2	chr1	179544765	179544766	cg08229358	NPHS2	Island	I
cg00911351	chr5	140767105	140767406	-0.000113178	7.00E-05	4.95E-05	0.047753054	PCDHGA4	chr5	140767255	140767256	cg00911351	PCDHGA4	Island	II
cg24471254	chr7	100253642	100253943	0.000331832	-4.12E-05	-1.84E-08	0.047732867	ACTL6B	chr7	100253792	100253793	cg24471254	ACTL6B	Island	I
cg07921625	chr13	58208200	58208501	0.000157895	-1.42E-05	5.85E-06	0.047670278	PCDH17	chr13	58208350	58208351	cg07921625	PCDH17	Island	II
cg02639634	chr8	54792011	54792312	0.000857143	-1.42E-05	9.88E-05	0.046883721	RGS20	chr8	54792161	54792162	cg02639634	RGS20	Island	II
cg18322569	chr1	91182627	91182928	0.001315789	-2.14E-05	0.000138365	0.046694026	BARHL2	chr1	91182777	91182778	cg18322569	BARHL2	Island	I
cg06023994	chr3	170137721	170138022	-0.000232114	3.50E-05	6.92E-06	0.046106486	CLDN11	chr3	170137871	170137872	cg06023994	CLDN11	Island	II
cg22512438	chr3	129693339	129693640	-6.78E-06	2.80E-05	2.41E-05	0.04605736	TRH	chr3	129693489	129693490	cg22512438	TRH	Island	I
cg00697992	chr2	139536981	139537282	0.000727273	-6.85E-06	6.77E-05	0.04603639	NXPH2	chr2	139537131	139537132	cg00697992	NXPH2	N_Shore	II
cg16196812	chr10	120354989	120355290	0.002258824	-3.52E-05	0.000226375	0.045808906	PRLHR	chr10	120355139	120355140	cg16196812	PRLHR	Island	II
cg02309273	chr1	38412594	38412895	0.00149039	-1.40E-05	0.000148304	0.045747367	INPP5B	chr1	38412744	38412745	cg02309273	INPP5B	CpG_Ocean	II
cg21000072	chr1	3567258	3567559	0.001241379	-6.99E-06	0.000107937	0.045662032	WDR8	chr1	3567408	3567409	cg21000072	WDR8	Island	I
cg06556702	chr12	58004298	58004599	0.00015	1.40E-05	3.05E-05	0.045452575	GEFT	chr12	58004448	58004449	cg06556702	GEFT	N_Shore	I
cg10828337	chr14	29236326	29236627	-6.45E-05	7.46E-06	0	0.045027097	FOXG1	chr14	29236476	29236477	cg10828337	FOXG1	N_Shore	II
cg14565725	chr1	119531894	119532195	-4.88E-05	2.76E-05	1.83E-05	0.044688875	TBX15	chr1	119532044	119532045	cg14565725	TBX15	Island	I
cg01158277	chr11	111783177	111783478	0.002600342	-5.32E-05	0.000216767	0.044205872	CRYAB	chr11	111783327	111783328	cg01158277	CRYAB	CpG_Ocean	I
cg04543289	chr16	24267409	24267710	0.004801474	-7.07E-06	0.000524865	0.043739912	CACNG3	chr16	24267559	24267560	cg04543289	CACNG3	S_Shore	II
cg10784030	chr1	38412538	38412839	0.000685714	-1.39E-05	6.19E-05	0.043652232	INPP5B	chr1	38412688	38412689	cg10784030	INPP5B	CpG_Ocean	II
cg22481263	chr1	906343	906644	0.00068984	-6.83E-06	7.70E-05	0.043126478	PLEKHN1	chr1	906493	906494	cg22481263	PLEKHN1	Island	I
cg06966811	chr14	57276639	57276940	0.000239119	0.00011143	0.000116454	0.043109958	OTX2	chr14	57276789	57276790	cg06966811	OTX2	Island	I
cg19748424	chr5	6583451	6583752	0.001979896	-6.07E-05	0.000124629	0.04296044	LOC255167	chr5	6583601	6583602	cg19748424	LOC255167	Island	I
cg20457796	chr10	50819350	50819651	0.001391771	-1.35E-05	0.00016123	0.042889823	SLC18A3	chr10	50819500	50819501	cg20457796	SLC18A3	Island	I
cg08409113	chr17	40937215	40937516	0.000161654	-7.67E-06	1.13E-05	0.042879917	WNK4	chr17	40937365	40937366	cg08409113	WNK4	Island	I
cg26702958	chr10	102996104	102996405	0.001047619	-1.94E-07	0.000135291	0.041473179	FLJ41350	chr10	102996254	102996255	cg26702958	FLJ41350	Island	I
cg11139646	chr1	40253665	40253966	0.00025	0	2.52E-05	0.041381626	BMP8B	chr1	40253815	40253816	cg11139646	BMP8B	Island	I
cg00543976	chr1	112058600	112058901	0.000260173	-1.42E-05	1.78E-05	0.041154836	ADORA3	chr1	112058750	112058751	cg00543976	ADORA3	S_Shore	II
cg01503065	chr4	155411656	155411957	0.001004054	-1.40E-05	0.000110863	0.040833558	DCHS2	chr4	155411806	155411807	cg01503065	DCHS2	Island	II
cg26755141	chr6	100903689	100903990	-8.33E-06	-3.26E-07	7.44E-08	0.040809524	SIM1	chr6	100903839	100903840	cg26755141	SIM1	N_Shore	II
cg24808280	chr1	169396718	169397019	0.000171919	6.64E-06	2.56E-05	0.040400694	C1orf114	chr1	169396868	169396869	cg24808280	C1orf114	Island	I
cg13585776	chr9	126783397	126783698	0.000914286	-7.71E-06	9.52E-05	0.040341012	LHX2	chr9	126783547	126783548	cg13585776	LHX2	N_Shore	I
cg12936335	chr6	150286062	150286363	0.006501867	-0.000102272	0.000585457	0.040279217	ULBP1	chr6	150286212	150286213	cg12936335	ULBP1	Island	II
cg06188545	chr1	156863493	156863794	0.003179317	-5.47E-05	0.000266461	0.040065532	PEAR1	chr1	156863643	156863644	cg06188545	PEAR1	Island	I
cg15243856	chr20	43935312	43935613	0.001704762	-6.99E-06	0.000155782	0.039890391	MATN4	chr20	43935462	43935463	cg15243856	MATN4	Island	I
cg20537629	chr7	79083794	79084095	0.001348172	6.74E-06	0.000146058	0.039872256	MAGI2	chr7	79083944	79083945	cg20537629	MAGI2	S_Shore	II
cg13407335	chr17	7832702	7833003	0.000151753	-2.93E-05	-7.95E-06	0.039546491	KCNAB3	chr17	7832852	7832853	cg13407335	KCNAB3	Island	I
cg02773086	chr2	177027290	177027591	0.000111212	1.46E-05	2.48E-05	0.03923035	HOXD3	chr2	177027440	177027441	cg02773086	HOXD3	N_Shore	I
cg07536910	chr2	176947955	176948256	0.0012	-1.37E-05	9.91E-05	0.039205617	EVX2	chr2	176948105	176948106	cg07536910	EVX2	Island	I
cg05741937	chr12	104609647	104609948	0.001181818	-1.39E-05	7.10E-05	0.038935791	TXNRD1	chr12	104609797	104609798	cg05741937	TXNRD1	Island	II
cg19698137	chr5	35990847	35991148	0.001154336	2.08E-05	0.00015396	0.038888458	UGT3A1	chr5	35990997	35990998	cg19698137	UGT3A1	CpG_Ocean	II
cg16276063	chr3	181421553	181421854	0.003543146	-1.38E-05	0.000403589	0.038712489	SOX2OT	chr3	181421703	181421704	cg16276063	SOX2OT	CpG_Ocean	I
cg22544863	chr19	15580250	15580551	0.003255556	-2.78E-05	0.000355596	0.038349925	PGLYRP2	chr19	15580400	15580401	cg22544863	PGLYRP2	Island	II
cg01254303	chr12	119591885	119592186	0.000656535	2.61E-07	7.25E-05	0.038015646	SRRM4	chr12	119592035	119592036	cg01254303	SRRM4	Island	I
cg04268950	chr11	130298704	130299005	0.002540729	-7.14E-06	0.000289439	0.037770877	ADAMTS8	chr11	130298854	130298855	cg04268950	ADAMTS8	S_Shore	I
cg07637213	chr10	50820454	50820755	0.001141026	-4.13E-05	9.16E-05	0.03775641	CHAT	chr10	50820604	50820605	cg07637213	CHAT	N_Shore	II
cg19942495	chr17	32483877	32484178	0.002283626	-6.69E-05	0.000193381	0.037039916	ACCN1	chr17	32484027	32484028	cg19942495	ACCN1	Island	II
cg23089840	chr21	45874736	45875037	0.000214286	-2.67E-05	-6.02E-06	0.036909091	LRRC3	chr21	45874886	45874887	cg23089840	LRRC3	N_Shore	II
cg20965743	chr14	104552059	104552360	-0.000120721	-6.45E-06	-1.82E-05	0.036599132	ASPG	chr14	104552209	104552210	cg20965743	ASPG	Island	I
cg21200656	chr20	21377922	21378223	0.001990512	-2.00E-05	0.000172336	0.036564821	NKX2-4	chr20	21378072	21378073	cg21200656	NKX2-4	Island	I
cg21113740	chr1	79472193	79472494	0.001321645	-1.41E-05	0.000131372	0.036341777	ELTD1	chr1	79472343	79472344	cg21113740	ELTD1	Island	I
cg07448060	chr7	79083603	79083904	0.003304522	-5.64E-05	0.000274669	0.036021493	MAGI2	chr7	79083753	79083754	cg07448060	MAGI2	Island	I
cg20624923	chr10	120355277	120355578	6.83E-05	7.72E-05	7.43E-05	0.035872394	PRLHR	chr10	120355427	120355428	cg20624923	PRLHR	Island	II
cg08292023	chr11	88242103	88242404	0.001405229	1.98E-05	0.000171074	0.035848766	GRM5	chr11	88242253	88242254	cg08292023	GRM5	Island	II
cg13691247	chr12	54070940	54071241	0.001219512	1.37E-05	0.000162162	0.035713043	ATP5G2	chr12	54071090	54071091	cg13691247	ATP5G2	Island	I
cg14993283	chr6	100906032	100906333	0.000125	4.83E-07	1.24E-05	0.03503562	SIM1	chr6	100906182	100906183	cg14993283	SIM1	Island	I
cg03091551	chr14	57275817	57276118	0	1.39E-05	1.24E-05	0.034972008	OTX2	chr14	57275967	57275968	cg03091551	OTX2	Island	II
cg16134717	chr1	11752344	11752645	0.004654273	-6.23E-05	0.000426724	0.034968333	MAD2L2	chr1	11752494	11752495	cg16134717	MAD2L2	Island	I
cg23683588	chr14	37136133	37136434	0.001450505	-2.79E-05	0.00012803	0.034801097	PAX9	chr14	37136283	37136284	cg23683588	PAX9	Island	I
cg20430047	chr20	20257711	20258012	0.002684535	-4.69E-05	0.000239769	0.034766494	C20orf26	chr20	20257861	20257862	cg20430047	C20orf26	CpG_Ocean	II
cg18077971	chr2	223164717	223165018	0.001413919	-1.51E-05	0.000143574	0.034551082	PAX3	chr2	223164867	223164868	cg18077971	PAX3	S_Shore	I
cg16823083	chr1	3567262	3567563	0.000129032	1.30E-05	2.42E-05	0.034501245	WDR8	chr1	3567412	3567413	cg16823083	WDR8	Island	I
cg09643544	chr19	9473546	9473847	0.001796937	-7.02E-06	0.000231847	0.034475172	ZNF177	chr19	9473696	9473697	cg09643544	ZNF177	Island	II
cg03338754	chr13	113765247	113765548	0.000253711	4.19E-05	6.81E-05	0.03438009	F7	chr13	113765397	113765398	cg03338754	F7	Island	II
cg08066129	chr21	38077108	38077409	0.000333333	-1.40E-05	2.41E-05	0.034285714	SIM2	chr21	38077258	38077259	cg08066129	SIM2	Island	II
cg04569615	chr11	20622048	20622349	0	-2.01E-05	-1.80E-05	0.03425953	SLC6A5	chr11	20622198	20622199	cg04569615	SLC6A5	N_Shore	II
cg08938584	chr5	140797359	140797660	0.001684421	-2.70E-05	0.000144728	0.034250124	PCDHGA4	chr5	140797509	140797510	cg08938584	PCDHGA4	Island	I
cg04553690	chr5	140777351	140777652	0.000683585	-1.37E-05	6.66E-05	0.033628327	PCDHGA4	chr5	140777501	140777502	cg04553690	PCDHGA4	Island	II
cg13564742	chr9	100614729	100615030	0.000295608	1.42E-05	4.45E-05	0.033475394	FOXE1	chr9	100614879	100614880	cg13564742	FOXE1	N_Shore	II
cg23290344	chr8	24771316	24771617	0.000358974	-1.40E-05	2.97E-05	0.033409417	NEFM	chr8	24771466	24771467	cg23290344	NEFM	Island	I
cg26820037	chr10	103534351	103534652	0.002192857	-2.08E-05	0.000237875	0.033346209	FGF8	chr10	103534501	103534502	cg26820037	FGF8	N_Shore	I
cg17991695	chr6	10882824	10883125	0.001026991	-1.43E-05	0.000110769	0.03320802	GCM2	chr6	10882974	10882975	cg17991695	GCM2	Island	II
cg20892260	chr8	23563875	23564176	0.000764706	-1.33E-05	6.57E-05	0.03275322	NKX2-6	chr8	23564025	23564026	cg20892260	NKX2-6	Island	I
cg01000615	chr1	145562667	145562968	0.001270115	-1.28E-05	0.000109769	0.032597517	ANKRD35	chr1	145562817	145562818	cg01000615	ANKRD35	CpG_Ocean	II
cg27137258	chr16	2892632	2892933	0.00072462	6.66E-06	0.000102469	0.032580162	TMPRSS8	chr16	2892782	2892783	cg27137258	TMPRSS8	Island	I
cg16620526	chr5	115297929	115298230	0.000125	0	1.19E-05	0.032355915	LVRN	chr5	115298079	115298080	cg16620526	LVRN	Island	I
cg01237056	chr22	43739842	43740143	0.000176471	-2.03E-05	9.68E-07	0.032066152	SCUBE1	chr22	43739992	43739993	cg01237056	SCUBE1	Island	I
cg17306747	chr5	1446015	1446316	0.001058824	0	0.000108434	0.031982759	SLC6A3	chr5	1446165	1446166	cg17306747	SLC6A3	Island	II
cg23350294	chr8	57359842	57360143	0.002508481	-1.99E-05	0.000224578	0.031579158	PENK	chr8	57359992	57359993	cg23350294	PENK	Island	I
cg11229513	chr8	70984409	70984710	0.00277677	-2.15E-05	0.000264569	0.031512671	PRDM14	chr8	70984559	70984560	cg11229513	PRDM14	Island	I
cg13561879	chr8	35092537	35092838	0	2.09E-05	1.87E-05	0.030837623	UNC5D	chr8	35092687	35092688	cg13561879	UNC5D	Island	II
cg03156893	chr16	23847525	23847826	0.001035354	-6.68E-06	9.89E-05	0.03055581	PRKCB	chr16	23847675	23847676	cg03156893	PRKCB	Island	I
